# BH mass function from LF assuming constant Eddington
# ratio and constant efficiency accretion.
# Output is for z=2.00.
# Masses are in Msun, volumes (Mpc/h)^3, mass function per dex.
#        MBH          Phi
  1.0000e+06   8.0728e-05
  1.4678e+06   7.8985e-05
  2.1544e+06   7.7419e-05
  3.1623e+06   7.6049e-05
  4.6416e+06   7.4900e-05
  6.8129e+06   7.4018e-05
  1.0000e+07   7.3471e-05
  1.4678e+07   7.3376e-05
  2.1544e+07   7.3930e-05
  3.1623e+07   7.5482e-05
  4.6416e+07   7.8664e-05
  6.8129e+07   8.4625e-05
  1.0000e+08   9.5393e-05
  1.4678e+08   1.1410e-04
  2.1544e+08   1.4373e-04
  3.1623e+08   1.8053e-04
  4.6416e+08   2.0257e-04
  6.8129e+08   1.8043e-04
  1.0000e+09   1.2238e-04
  1.4678e+09   6.6918e-05
  2.1544e+09   3.2374e-05
  3.1623e+09   1.4957e-05
  4.6416e+09   6.9823e-06
  6.8129e+09   3.4670e-06
  1.0000e+10   1.9295e-06
