# NPR fooling around...
#        k1,k2,a = 1.22,-0.23,-3.31+0.3*(zz-3.0)
#
# BH mass function from LF assuming constant Eddington
# ratio and constant efficiency accretion.
# Output is for z=6.00.
# Masses are in Msun, volumes (Mpc/h)^3, mass function per dex.
#        MBH          Phi
  1.0000e+06   6.4124e-06
  1.4678e+06   5.1572e-06
  2.1544e+06   3.8938e-06
  3.1623e+06   2.7748e-06
  4.6416e+06   1.8896e-06
  6.8129e+06   1.2495e-06
  1.0000e+07   8.1590e-07
  1.4678e+07   5.3467e-07
  2.1544e+07   3.5715e-07
  3.1623e+07   2.4671e-07
  4.6416e+07   1.7835e-07
  6.8129e+07   1.3592e-07
  1.0000e+08   1.0930e-07
  1.4678e+08   9.2278e-08
  2.1544e+08   8.1078e-08
  3.1623e+08   7.3417e-08
  4.6416e+08   6.7919e-08
  6.8129e+08   6.3756e-08
  1.0000e+09   6.0429e-08
  1.4678e+09   5.7636e-08
  2.1544e+09   5.5196e-08
  3.1623e+09   5.2997e-08
  4.6416e+09   5.0972e-08
  6.8129e+09   4.9077e-08
  1.0000e+10   4.7287e-08
