 =====================================================
 ============= Photometric quality (E_qual) ==========
 g mag.  E_qual
19.125    0.907975
19.375    0.907975
19.625    0.908571
19.875    0.910046
20.125    0.900966
20.375    0.903998
20.625    0.891213
20.875    0.892259
21.125    0.873316
21.375    0.872269
21.625    0.892906
21.875    0.892076
22.125    0.868898
22.375    0.868898
22.625    0.753742
22.875    0.753742
 ==============================================================
 ======= Photometric quality * Selection (E_qual*E_sel) =======
 g mag.  E_qual*E_sel
19.125    0.802431
19.375    0.8277
19.625    0.8265
19.875    0.829116
20.125    0.782415
20.375    0.792881
20.625    0.75522
20.875    0.742595
21.125    0.694988
21.375    0.686198
21.625    0.65634
21.875    0.64767
22.125    0.531216
22.375    0.533969
22.625    0.424171
22.875    0.422587
 =============================================================================
 ======= Photometric quality * Selection * tiling (E_qual*E_sel*E_til) =======
g mag. E_qual*E_sel*E_til
19.125    0.758343
19.375    0.740404
19.625    0.754328
19.875    0.753747
20.125    0.71533
20.375    0.729622
20.625    0.697155
20.875    0.678422
21.125    0.642004
21.375    0.624379
21.625    0.602747
21.875    0.588533
22.125    0.477508
22.375    0.478851
22.625    0.372524
22.875    0.366201
