 i_start    i_end  z_start    z_end     sel.
  17.500   17.600    2.000    2.050   0.0000
  17.500   17.600    2.050    2.100   0.0000
  17.500   17.600    2.100    2.150   0.0000
  17.500   17.600    2.150    2.200   0.0000
  17.500   17.600    2.200    2.250   0.0000
  17.500   17.600    2.250    2.300   0.0000
  17.500   17.600    2.300    2.350   0.0000
  17.500   17.600    2.350    2.400   0.0000
  17.500   17.600    2.400    2.450   0.0000
  17.500   17.600    2.450    2.500   0.0000
  17.500   17.600    2.500    2.550   0.0000
  17.500   17.600    2.550    2.600   0.0000
  17.500   17.600    2.600    2.650   0.0000
  17.500   17.600    2.650    2.700   0.0000
  17.500   17.600    2.700    2.750   0.0000
  17.500   17.600    2.750    2.800   0.0000
  17.500   17.600    2.800    2.850   0.0000
  17.500   17.600    2.850    2.900   0.0000
  17.500   17.600    2.900    2.950   0.0000
  17.500   17.600    2.950    3.000   0.0000
  17.500   17.600    3.000    3.050   0.0000
  17.500   17.600    3.050    3.100   0.0000
  17.500   17.600    3.100    3.150   0.0000
  17.500   17.600    3.150    3.200   0.0000
  17.500   17.600    3.200    3.250   0.0000
  17.500   17.600    3.250    3.300   0.0000
  17.500   17.600    3.300    3.350   0.0000
  17.500   17.600    3.350    3.400   0.0000
  17.500   17.600    3.400    3.450   0.0000
  17.500   17.600    3.450    3.500   0.0000
  17.500   17.600    3.500    3.550   0.0000
  17.500   17.600    3.550    3.600   0.0000
  17.600   17.700    2.000    2.050   0.0000
  17.600   17.700    2.050    2.100   0.0000
  17.600   17.700    2.100    2.150   0.0000
  17.600   17.700    2.150    2.200   0.0000
  17.600   17.700    2.200    2.250   0.0000
  17.600   17.700    2.250    2.300   0.0000
  17.600   17.700    2.300    2.350   0.0000
  17.600   17.700    2.350    2.400   0.0000
  17.600   17.700    2.400    2.450   0.0000
  17.600   17.700    2.450    2.500   0.0000
  17.600   17.700    2.500    2.550   0.0000
  17.600   17.700    2.550    2.600   0.0000
  17.600   17.700    2.600    2.650   0.0000
  17.600   17.700    2.650    2.700   0.0000
  17.600   17.700    2.700    2.750   0.0000
  17.600   17.700    2.750    2.800   0.0000
  17.600   17.700    2.800    2.850   0.0000
  17.600   17.700    2.850    2.900   0.0000
  17.600   17.700    2.900    2.950   0.0000
  17.600   17.700    2.950    3.000   0.0000
  17.600   17.700    3.000    3.050   0.0000
  17.600   17.700    3.050    3.100   0.0000
  17.600   17.700    3.100    3.150   0.0000
  17.600   17.700    3.150    3.200   0.0000
  17.600   17.700    3.200    3.250   0.0000
  17.600   17.700    3.250    3.300   0.0000
  17.600   17.700    3.300    3.350   0.0000
  17.600   17.700    3.350    3.400   0.0000
  17.600   17.700    3.400    3.450   0.0000
  17.600   17.700    3.450    3.500   0.0000
  17.600   17.700    3.500    3.550   0.0000
  17.600   17.700    3.550    3.600   0.0000
  17.700   17.800    2.000    2.050   0.0000
  17.700   17.800    2.050    2.100   0.0000
  17.700   17.800    2.100    2.150   0.0000
  17.700   17.800    2.150    2.200   0.0000
  17.700   17.800    2.200    2.250   0.0000
  17.700   17.800    2.250    2.300   0.0000
  17.700   17.800    2.300    2.350   0.0000
  17.700   17.800    2.350    2.400   0.0000
  17.700   17.800    2.400    2.450   0.0000
  17.700   17.800    2.450    2.500   0.0000
  17.700   17.800    2.500    2.550   0.0000
  17.700   17.800    2.550    2.600   0.0000
  17.700   17.800    2.600    2.650   0.0000
  17.700   17.800    2.650    2.700   0.0000
  17.700   17.800    2.700    2.750   0.0000
  17.700   17.800    2.750    2.800   0.0000
  17.700   17.800    2.800    2.850   0.0000
  17.700   17.800    2.850    2.900   0.0000
  17.700   17.800    2.900    2.950   0.0000
  17.700   17.800    2.950    3.000   0.0000
  17.700   17.800    3.000    3.050   0.0000
  17.700   17.800    3.050    3.100   0.0000
  17.700   17.800    3.100    3.150   0.0000
  17.700   17.800    3.150    3.200   0.0000
  17.700   17.800    3.200    3.250   0.0000
  17.700   17.800    3.250    3.300   0.0000
  17.700   17.800    3.300    3.350   0.0000
  17.700   17.800    3.350    3.400   0.0000
  17.700   17.800    3.400    3.450   0.0000
  17.700   17.800    3.450    3.500   0.0000
  17.700   17.800    3.500    3.550   0.0000
  17.700   17.800    3.550    3.600   0.0000
  17.800   17.900    2.000    2.050   0.0000
  17.800   17.900    2.050    2.100   0.0000
  17.800   17.900    2.100    2.150   0.0000
  17.800   17.900    2.150    2.200   0.0052
  17.800   17.900    2.200    2.250   0.0938
  17.800   17.900    2.250    2.300   0.2903
  17.800   17.900    2.300    2.350   0.3967
  17.800   17.900    2.350    2.400   0.4038
  17.800   17.900    2.400    2.450   0.4775
  17.800   17.900    2.450    2.500   0.4362
  17.800   17.900    2.500    2.550   0.4118
  17.800   17.900    2.550    2.600   0.5337
  17.800   17.900    2.600    2.650   0.4750
  17.800   17.900    2.650    2.700   0.4550
  17.800   17.900    2.700    2.750   0.3316
  17.800   17.900    2.750    2.800   0.1863
  17.800   17.900    2.800    2.850   0.1287
  17.800   17.900    2.850    2.900   0.0794
  17.800   17.900    2.900    2.950   0.1481
  17.800   17.900    2.950    3.000   0.1832
  17.800   17.900    3.000    3.050   0.2589
  17.800   17.900    3.050    3.100   0.2857
  17.800   17.900    3.100    3.150   0.3260
  17.800   17.900    3.150    3.200   0.3810
  17.800   17.900    3.200    3.250   0.3769
  17.800   17.900    3.250    3.300   0.3750
  17.800   17.900    3.300    3.350   0.2879
  17.800   17.900    3.350    3.400   0.2933
  17.800   17.900    3.400    3.450   0.3177
  17.800   17.900    3.450    3.500   0.1642
  17.800   17.900    3.500    3.550   0.0393
  17.800   17.900    3.550    3.600   0.0100
  17.900   18.000    2.000    2.050   0.0000
  17.900   18.000    2.050    2.100   0.0000
  17.900   18.000    2.100    2.150   0.0052
  17.900   18.000    2.150    2.200   0.0145
  17.900   18.000    2.200    2.250   0.1190
  17.900   18.000    2.250    2.300   0.6872
  17.900   18.000    2.300    2.350   0.8524
  17.900   18.000    2.350    2.400   0.8500
  17.900   18.000    2.400    2.450   0.9184
  17.900   18.000    2.450    2.500   0.8915
  17.900   18.000    2.500    2.550   0.8544
  17.900   18.000    2.550    2.600   0.9312
  17.900   18.000    2.600    2.650   0.8863
  17.900   18.000    2.650    2.700   0.8610
  17.900   18.000    2.700    2.750   0.7079
  17.900   18.000    2.750    2.800   0.4129
  17.900   18.000    2.800    2.850   0.2172
  17.900   18.000    2.850    2.900   0.1753
  17.900   18.000    2.900    2.950   0.1704
  17.900   18.000    2.950    3.000   0.3004
  17.900   18.000    3.000    3.050   0.4106
  17.900   18.000    3.050    3.100   0.5083
  17.900   18.000    3.100    3.150   0.5619
  17.900   18.000    3.150    3.200   0.6000
  17.900   18.000    3.200    3.250   0.7150
  17.900   18.000    3.250    3.300   0.6776
  17.900   18.000    3.300    3.350   0.6851
  17.900   18.000    3.350    3.400   0.5931
  17.900   18.000    3.400    3.450   0.4706
  17.900   18.000    3.450    3.500   0.3493
  17.900   18.000    3.500    3.550   0.0891
  17.900   18.000    3.550    3.600   0.0405
  18.000   18.100    2.000    2.050   0.0000
  18.000   18.100    2.050    2.100   0.0051
  18.000   18.100    2.100    2.150   0.0049
  18.000   18.100    2.150    2.200   0.0089
  18.000   18.100    2.200    2.250   0.1520
  18.000   18.100    2.250    2.300   0.5271
  18.000   18.100    2.300    2.350   0.9034
  18.000   18.100    2.350    2.400   0.9040
  18.000   18.100    2.400    2.450   0.8587
  18.000   18.100    2.450    2.500   0.8913
  18.000   18.100    2.500    2.550   0.9130
  18.000   18.100    2.550    2.600   0.8950
  18.000   18.100    2.600    2.650   0.8779
  18.000   18.100    2.650    2.700   0.7628
  18.000   18.100    2.700    2.750   0.6131
  18.000   18.100    2.750    2.800   0.3918
  18.000   18.100    2.800    2.850   0.2981
  18.000   18.100    2.850    2.900   0.1794
  18.000   18.100    2.900    2.950   0.2556
  18.000   18.100    2.950    3.000   0.3904
  18.000   18.100    3.000    3.050   0.4415
  18.000   18.100    3.050    3.100   0.5433
  18.000   18.100    3.100    3.150   0.5873
  18.000   18.100    3.150    3.200   0.6865
  18.000   18.100    3.200    3.250   0.6744
  18.000   18.100    3.250    3.300   0.7534
  18.000   18.100    3.300    3.350   0.7000
  18.000   18.100    3.350    3.400   0.5468
  18.000   18.100    3.400    3.450   0.6029
  18.000   18.100    3.450    3.500   0.3659
  18.000   18.100    3.500    3.550   0.1070
  18.000   18.100    3.550    3.600   0.0199
  18.100   18.200    2.000    2.050   0.0000
  18.100   18.200    2.050    2.100   0.0000
  18.100   18.200    2.100    2.150   0.0000
  18.100   18.200    2.150    2.200   0.0053
  18.100   18.200    2.200    2.250   0.1508
  18.100   18.200    2.250    2.300   0.6545
  18.100   18.200    2.300    2.350   0.7990
  18.100   18.200    2.350    2.400   0.8863
  18.100   18.200    2.400    2.450   0.9082
  18.100   18.200    2.450    2.500   0.9426
  18.100   18.200    2.500    2.550   0.8544
  18.100   18.200    2.550    2.600   0.8565
  18.100   18.200    2.600    2.650   0.7303
  18.100   18.200    2.650    2.700   0.5645
  18.100   18.200    2.700    2.750   0.3804
  18.100   18.200    2.750    2.800   0.3024
  18.100   18.200    2.800    2.850   0.2944
  18.100   18.200    2.850    2.900   0.3520
  18.100   18.200    2.900    2.950   0.4225
  18.100   18.200    2.950    3.000   0.4722
  18.100   18.200    3.000    3.050   0.5425
  18.100   18.200    3.050    3.100   0.6649
  18.100   18.200    3.100    3.150   0.7264
  18.100   18.200    3.150    3.200   0.6849
  18.100   18.200    3.200    3.250   0.8280
  18.100   18.200    3.250    3.300   0.7633
  18.100   18.200    3.300    3.350   0.7500
  18.100   18.200    3.350    3.400   0.6715
  18.100   18.200    3.400    3.450   0.4943
  18.100   18.200    3.450    3.500   0.2985
  18.100   18.200    3.500    3.550   0.0714
  18.100   18.200    3.550    3.600   0.0048
  18.200   18.300    2.000    2.050   0.0000
  18.200   18.300    2.050    2.100   0.0048
  18.200   18.300    2.100    2.150   0.0000
  18.200   18.300    2.150    2.200   0.0000
  18.200   18.300    2.200    2.250   0.0673
  18.200   18.300    2.250    2.300   0.5413
  18.200   18.300    2.300    2.350   0.7624
  18.200   18.300    2.350    2.400   0.8000
  18.200   18.300    2.400    2.450   0.8418
  18.200   18.300    2.450    2.500   0.8727
  18.200   18.300    2.500    2.550   0.8762
  18.200   18.300    2.550    2.600   0.8614
  18.200   18.300    2.600    2.650   0.8048
  18.200   18.300    2.650    2.700   0.6146
  18.200   18.300    2.700    2.750   0.4059
  18.200   18.300    2.750    2.800   0.3258
  18.200   18.300    2.800    2.850   0.3014
  18.200   18.300    2.850    2.900   0.3626
  18.200   18.300    2.900    2.950   0.4929
  18.200   18.300    2.950    3.000   0.5588
  18.200   18.300    3.000    3.050   0.7000
  18.200   18.300    3.050    3.100   0.7192
  18.200   18.300    3.100    3.150   0.7488
  18.200   18.300    3.150    3.200   0.8038
  18.200   18.300    3.200    3.250   0.8066
  18.200   18.300    3.250    3.300   0.8343
  18.200   18.300    3.300    3.350   0.6856
  18.200   18.300    3.350    3.400   0.6439
  18.200   18.300    3.400    3.450   0.5261
  18.200   18.300    3.450    3.500   0.3333
  18.200   18.300    3.500    3.550   0.0648
  18.200   18.300    3.550    3.600   0.0149
  18.300   18.400    2.000    2.050   0.0000
  18.300   18.400    2.050    2.100   0.0104
  18.300   18.400    2.100    2.150   0.0098
  18.300   18.400    2.150    2.200   0.0000
  18.300   18.400    2.200    2.250   0.1392
  18.300   18.400    2.250    2.300   0.6348
  18.300   18.400    2.300    2.350   0.7989
  18.300   18.400    2.350    2.400   0.8700
  18.300   18.400    2.400    2.450   0.8911
  18.300   18.400    2.450    2.500   0.9289
  18.300   18.400    2.500    2.550   0.9082
  18.300   18.400    2.550    2.600   0.8969
  18.300   18.400    2.600    2.650   0.8868
  18.300   18.400    2.650    2.700   0.6878
  18.300   18.400    2.700    2.750   0.5274
  18.300   18.400    2.750    2.800   0.4082
  18.300   18.400    2.800    2.850   0.3048
  18.300   18.400    2.850    2.900   0.3869
