 i_start    i_end  z_start    z_end     sel.
  17.500   17.600    2.000    2.050   0.0000
  17.500   17.600    2.050    2.100   0.0000
  17.500   17.600    2.100    2.150   0.0000
  17.500   17.600    2.150    2.200   0.0000
  17.500   17.600    2.200    2.250   0.0000
  17.500   17.600    2.250    2.300   0.0000
  17.500   17.600    2.300    2.350   0.0000
  17.500   17.600    2.350    2.400   0.0000
  17.500   17.600    2.400    2.450   0.0000
  17.500   17.600    2.450    2.500   0.0000
  17.500   17.600    2.500    2.550   0.0000
  17.500   17.600    2.550    2.600   0.0000
  17.500   17.600    2.600    2.650   0.0000
  17.500   17.600    2.650    2.700   0.0000
  17.500   17.600    2.700    2.750   0.0000
  17.500   17.600    2.750    2.800   0.0000
  17.500   17.600    2.800    2.850   0.0048
  17.500   17.600    2.850    2.900   0.0000
  17.500   17.600    2.900    2.950   0.0000
  17.500   17.600    2.950    3.000   0.0000
  17.500   17.600    3.000    3.050   0.0000
  17.500   17.600    3.050    3.100   0.0000
  17.500   17.600    3.100    3.150   0.0000
  17.500   17.600    3.150    3.200   0.0000
  17.500   17.600    3.200    3.250   0.0000
  17.500   17.600    3.250    3.300   0.0000
  17.500   17.600    3.300    3.350   0.0000
  17.500   17.600    3.350    3.400   0.0000
  17.500   17.600    3.400    3.450   0.0000
  17.500   17.600    3.450    3.500   0.0000
  17.500   17.600    3.500    3.550   0.0000
  17.500   17.600    3.550    3.600   0.0000
  17.500   17.600    3.600    3.650   0.0000
  17.500   17.600    3.650    3.700   0.0000
  17.500   17.600    3.700    3.750   0.0000
  17.500   17.600    3.750    3.800   0.0000
  17.500   17.600    3.800    3.850   0.0000
  17.500   17.600    3.850    3.900   0.0000
  17.500   17.600    3.900    3.950   0.0000
  17.500   17.600    3.950    4.000   0.0000
  17.500   17.600    4.000    4.050   0.0000
  17.500   17.600    4.050    4.100   0.0000
  17.500   17.600    4.100    4.150   0.0000
  17.500   17.600    4.150    4.200   0.0000
  17.500   17.600    4.200    4.250   0.0000
  17.500   17.600    4.250    4.300   0.0000
  17.500   17.600    4.300    4.350   0.0000
  17.500   17.600    4.350    4.400   0.0000
  17.500   17.600    4.400    4.450   0.0000
  17.500   17.600    4.450    4.500   0.0000
  17.500   17.600    4.500    4.550   0.0000
  17.500   17.600    4.550    4.600   0.0000
  17.600   17.700    2.000    2.050   0.0000
  17.600   17.700    2.050    2.100   0.0000
  17.600   17.700    2.100    2.150   0.0000
  17.600   17.700    2.150    2.200   0.0000
  17.600   17.700    2.200    2.250   0.0000
  17.600   17.700    2.250    2.300   0.0050
  17.600   17.700    2.300    2.350   0.0052
  17.600   17.700    2.350    2.400   0.0051
  17.600   17.700    2.400    2.450   0.0053
  17.600   17.700    2.450    2.500   0.0133
  17.600   17.700    2.500    2.550   0.0000
  17.600   17.700    2.550    2.600   0.0050
  17.600   17.700    2.600    2.650   0.0096
  17.600   17.700    2.650    2.700   0.0000
  17.600   17.700    2.700    2.750   0.0221
  17.600   17.700    2.750    2.800   0.0097
  17.600   17.700    2.800    2.850   0.0048
  17.600   17.700    2.850    2.900   0.0095
  17.600   17.700    2.900    2.950   0.0156
  17.600   17.700    2.950    3.000   0.0112
  17.600   17.700    3.000    3.050   0.0052
  17.600   17.700    3.050    3.100   0.0100
  17.600   17.700    3.100    3.150   0.0110
  17.600   17.700    3.150    3.200   0.0103
  17.600   17.700    3.200    3.250   0.0097
  17.600   17.700    3.250    3.300   0.0052
  17.600   17.700    3.300    3.350   0.0111
  17.600   17.700    3.350    3.400   0.0047
  17.600   17.700    3.400    3.450   0.0000
  17.600   17.700    3.450    3.500   0.0000
  17.600   17.700    3.500    3.550   0.0000
  17.600   17.700    3.550    3.600   0.0000
  17.600   17.700    3.600    3.650   0.0000
  17.600   17.700    3.650    3.700   0.0000
  17.600   17.700    3.700    3.750   0.0000
  17.600   17.700    3.750    3.800   0.0000
  17.600   17.700    3.800    3.850   0.0000
  17.600   17.700    3.850    3.900   0.0000
  17.600   17.700    3.900    3.950   0.0000
  17.600   17.700    3.950    4.000   0.0000
  17.600   17.700    4.000    4.050   0.0000
  17.600   17.700    4.050    4.100   0.0000
  17.600   17.700    4.100    4.150   0.0000
  17.600   17.700    4.150    4.200   0.0000
  17.600   17.700    4.200    4.250   0.0000
  17.600   17.700    4.250    4.300   0.0000
  17.600   17.700    4.300    4.350   0.0000
  17.600   17.700    4.350    4.400   0.0000
  17.600   17.700    4.400    4.450   0.0000
  17.600   17.700    4.450    4.500   0.0000
  17.600   17.700    4.500    4.550   0.0000
  17.600   17.700    4.550    4.600   0.0000
  17.700   17.800    2.000    2.050   0.0046
  17.700   17.800    2.050    2.100   0.0046
  17.700   17.800    2.100    2.150   0.0000
  17.700   17.800    2.150    2.200   0.0146
  17.700   17.800    2.200    2.250   0.1257
  17.700   17.800    2.250    2.300   0.3084
  17.700   17.800    2.300    2.350   0.3684
  17.700   17.800    2.350    2.400   0.3676
  17.700   17.800    2.400    2.450   0.3069
  17.700   17.800    2.450    2.500   0.3557
  17.700   17.800    2.500    2.550   0.3301
  17.700   17.800    2.550    2.600   0.2585
  17.700   17.800    2.600    2.650   0.3107
  17.700   17.800    2.650    2.700   0.1667
  17.700   17.800    2.700    2.750   0.1613
  17.700   17.800    2.750    2.800   0.1923
  17.700   17.800    2.800    2.850   0.2376
  17.700   17.800    2.850    2.900   0.2667
  17.700   17.800    2.900    2.950   0.3469
  17.700   17.800    2.950    3.000   0.3555
  17.700   17.800    3.000    3.050   0.4030
  17.700   17.800    3.050    3.100   0.4793
  17.700   17.800    3.100    3.150   0.3835
  17.700   17.800    3.150    3.200   0.4439
  17.700   17.800    3.200    3.250   0.3966
  17.700   17.800    3.250    3.300   0.3726
  17.700   17.800    3.300    3.350   0.3719
  17.700   17.800    3.350    3.400   0.3607
  17.700   17.800    3.400    3.450   0.2042
  17.700   17.800    3.450    3.500   0.0314
  17.700   17.800    3.500    3.550   0.0049
  17.700   17.800    3.550    3.600   0.0000
  17.700   17.800    3.600    3.650   0.0000
  17.700   17.800    3.650    3.700   0.0000
  17.700   17.800    3.700    3.750   0.0000
  17.700   17.800    3.750    3.800   0.0000
  17.700   17.800    3.800    3.850   0.0000
  17.700   17.800    3.850    3.900   0.0000
  17.700   17.800    3.900    3.950   0.0000
  17.700   17.800    3.950    4.000   0.0000
  17.700   17.800    4.000    4.050   0.0000
  17.700   17.800    4.050    4.100   0.0000
  17.700   17.800    4.100    4.150   0.0000
  17.700   17.800    4.150    4.200   0.0000
  17.700   17.800    4.200    4.250   0.0000
  17.700   17.800    4.250    4.300   0.0000
  17.700   17.800    4.300    4.350   0.0000
  17.700   17.800    4.350    4.400   0.0000
  17.700   17.800    4.400    4.450   0.0054
  17.700   17.800    4.450    4.500   0.0127
  17.700   17.800    4.500    4.550   0.0316
  17.700   17.800    4.550    4.600   0.0270
  17.800   17.900    2.000    2.050   0.0000
  17.800   17.900    2.050    2.100   0.0000
  17.800   17.900    2.100    2.150   0.0050
  17.800   17.900    2.150    2.200   0.0110
  17.800   17.900    2.200    2.250   0.4010
  17.800   17.900    2.250    2.300   0.8300
  17.800   17.900    2.300    2.350   0.8402
  17.800   17.900    2.350    2.400   0.8470
  17.800   17.900    2.400    2.450   0.8282
  17.800   17.900    2.450    2.500   0.7789
  17.800   17.900    2.500    2.550   0.7812
  17.800   17.900    2.550    2.600   0.6207
  17.800   17.900    2.600    2.650   0.6231
  17.800   17.900    2.650    2.700   0.4833
  17.800   17.900    2.700    2.750   0.3563
  17.800   17.900    2.750    2.800   0.3673
  17.800   17.900    2.800    2.850   0.3736
  17.800   17.900    2.850    2.900   0.5571
  17.800   17.900    2.900    2.950   0.7150
  17.800   17.900    2.950    3.000   0.9061
  17.800   17.900    3.000    3.050   0.9902
  17.800   17.900    3.050    3.100   0.9750
  17.800   17.900    3.100    3.150   0.9897
  17.800   17.900    3.150    3.200   0.9510
  17.800   17.900    3.200    3.250   0.9818
  17.800   17.900    3.250    3.300   0.9742
  17.800   17.900    3.300    3.350   0.9659
  17.800   17.900    3.350    3.400   0.8371
  17.800   17.900    3.400    3.450   0.4554
  17.800   17.900    3.450    3.500   0.0979
  17.800   17.900    3.500    3.550   0.0050
  17.800   17.900    3.550    3.600   0.0000
  17.800   17.900    3.600    3.650   0.0048
  17.800   17.900    3.650    3.700   0.0000
  17.800   17.900    3.700    3.750   0.0000
  17.800   17.900    3.750    3.800   0.0047
  17.800   17.900    3.800    3.850   0.0000
  17.800   17.900    3.850    3.900   0.0000
  17.800   17.900    3.900    3.950   0.0000
  17.800   17.900    3.950    4.000   0.0000
  17.800   17.900    4.000    4.050   0.0096
  17.800   17.900    4.050    4.100   0.0000
  17.800   17.900    4.100    4.150   0.0098
  17.800   17.900    4.150    4.200   0.0052
  17.800   17.900    4.200    4.250   0.0051
  17.800   17.900    4.250    4.300   0.0000
  17.800   17.900    4.300    4.350   0.0049
  17.800   17.900    4.350    4.400   0.0000
  17.800   17.900    4.400    4.450   0.0162
  17.800   17.900    4.450    4.500   0.0404
  17.800   17.900    4.500    4.550   0.0879
  17.800   17.900    4.550    4.600   0.0415
  17.900   18.000    2.000    2.050   0.0051
  17.900   18.000    2.050    2.100   0.0000
  17.900   18.000    2.100    2.150   0.0000
  17.900   18.000    2.150    2.200   0.0100
  17.900   18.000    2.200    2.250   0.4545
  17.900   18.000    2.250    2.300   0.8889
  17.900   18.000    2.300    2.350   0.8750
  17.900   18.000    2.350    2.400   0.8584
  17.900   18.000    2.400    2.450   0.8611
  17.900   18.000    2.450    2.500   0.8558
  17.900   18.000    2.500    2.550   0.8051
  17.900   18.000    2.550    2.600   0.7116
  17.900   18.000    2.600    2.650   0.6039
  17.900   18.000    2.650    2.700   0.4028
  17.900   18.000    2.700    2.750   0.3382
  17.900   18.000    2.750    2.800   0.2885
  17.900   18.000    2.800    2.850   0.2687
  17.900   18.000    2.850    2.900   0.3842
  17.900   18.000    2.900    2.950   0.5885
  17.900   18.000    2.950    3.000   0.8789
  17.900   18.000    3.000    3.050   0.9747
  17.900   18.000    3.050    3.100   0.9901
  17.900   18.000    3.100    3.150   0.9858
  17.900   18.000    3.150    3.200   0.9799
  17.900   18.000    3.200    3.250   0.9953
  17.900   18.000    3.250    3.300   0.9635
  17.900   18.000    3.300    3.350   0.9633
  17.900   18.000    3.350    3.400   0.8316
  17.900   18.000    3.400    3.450   0.5236
  17.900   18.000    3.450    3.500   0.0670
  17.900   18.000    3.500    3.550   0.0104
  17.900   18.000    3.550    3.600   0.0106
  17.900   18.000    3.600    3.650   0.0000
  17.900   18.000    3.650    3.700   0.0049
  17.900   18.000    3.700    3.750   0.0000
  17.900   18.000    3.750    3.800   0.0000
  17.900   18.000    3.800    3.850   0.0000
  17.900   18.000    3.850    3.900   0.0000
  17.900   18.000    3.900    3.950   0.0000
  17.900   18.000    3.950    4.000   0.0047
  17.900   18.000    4.000    4.050   0.0000
  17.900   18.000    4.050    4.100   0.0000
  17.900   18.000    4.100    4.150   0.0000
  17.900   18.000    4.150    4.200   0.0000
  17.900   18.000    4.200    4.250   0.0000
  17.900   18.000    4.250    4.300   0.0048
  17.900   18.000    4.300    4.350   0.0000
  17.900   18.000    4.350    4.400   0.0152
  17.900   18.000    4.400    4.450   0.0193
  17.900   18.000    4.450    4.500   0.0254
  17.900   18.000    4.500    4.550   0.1127
  17.900   18.000    4.550    4.600   0.0691
  18.000   18.100    2.000    2.050   0.0047
  18.000   18.100    2.050    2.100   0.0000
  18.000   18.100    2.100    2.150   0.0000
  18.000   18.100    2.150    2.200   0.0279
  18.000   18.100    2.200    2.250   0.4272
  18.000   18.100    2.250    2.300   0.8023
  18.000   18.100    2.300    2.350   0.8204
  18.000   18.100    2.350    2.400   0.7707
  18.000   18.100    2.400    2.450   0.7947
  18.000   18.100    2.450    2.500   0.8061
  18.000   18.100    2.500    2.550   0.6845
  18.000   18.100    2.550    2.600   0.6061
  18.000   18.100    2.600    2.650   0.4611
  18.000   18.100    2.650    2.700   0.4197
