 i_start    i_end  z_start    z_end     sel.
  18.800   18.900    2.000    2.050   0.0000
  18.800   18.900    2.050    2.100   0.0000
  18.800   18.900    2.100    2.150   0.0049
  18.800   18.900    2.150    2.200   0.0359
  18.800   18.900    2.200    2.250   0.1667
  18.800   18.900    2.250    2.300   0.6321
  18.800   18.900    2.300    2.350   0.8680
  18.800   18.900    2.350    2.400   0.8643
  18.800   18.900    2.400    2.450   0.8256
  18.800   18.900    2.450    2.500   0.8643
  18.800   18.900    2.500    2.550   0.9005
  18.800   18.900    2.550    2.600   0.9385
  18.800   18.900    2.600    2.650   0.8683
  18.800   18.900    2.650    2.700   0.7689
  18.800   18.900    2.700    2.750   0.6082
  18.800   18.900    2.750    2.800   0.4494
  18.800   18.900    2.800    2.850   0.3929
  18.800   18.900    2.850    2.900   0.4118
  18.800   18.900    2.900    2.950   0.4608
  18.800   18.900    2.950    3.000   0.5707
  18.800   18.900    3.000    3.050   0.5756
  18.800   18.900    3.050    3.100   0.6274
  18.800   18.900    3.100    3.150   0.7030
  18.800   18.900    3.150    3.200   0.7788
  18.800   18.900    3.200    3.250   0.7538
  18.800   18.900    3.250    3.300   0.7462
  18.800   18.900    3.300    3.350   0.6765
  18.800   18.900    3.350    3.400   0.5628
  18.800   18.900    3.400    3.450   0.5222
  18.800   18.900    3.450    3.500   0.2757
  18.800   18.900    3.500    3.550   0.0594
  18.800   18.900    3.550    3.600   0.0055
  18.800   18.900    3.600    3.650   0.0000
  18.800   18.900    3.650    3.700   0.0000
  18.800   18.900    3.700    3.750   0.0000
  18.800   18.900    3.750    3.800   0.0118
  18.800   18.900    3.800    3.850   0.0000
  18.800   18.900    3.850    3.900   0.0000
  18.800   18.900    3.900    3.950   0.0000
  18.800   18.900    3.950    4.000   0.0106
  18.800   18.900    4.000    4.050   0.0000
  18.800   18.900    4.050    4.100   0.0714
  18.800   18.900    4.100    4.150   0.0000
  18.800   18.900    4.150    4.200   0.0000
  18.800   18.900    4.200    4.250   0.0000
  18.800   18.900    4.250    4.300   0.0000
  18.800   18.900    4.300    4.350   0.0000
