 g_start    g_end  z_start    z_end     sel.
  17.800   17.900    2.000    2.050   0.0048
  17.800   17.900    2.050    2.100   0.0292
  17.800   17.900    2.100    2.150   0.1098
  17.800   17.900    2.150    2.200   0.2011
  17.800   17.900    2.200    2.250   0.2535
  17.800   17.900    2.250    2.300   0.3161
  17.800   17.900    2.300    2.350   0.2582
  17.800   17.900    2.350    2.400   0.3443
  17.800   17.900    2.400    2.450   0.3450
  17.800   17.900    2.450    2.500   0.3736
  17.800   17.900    2.500    2.550   0.3149
  17.800   17.900    2.550    2.600   0.2050
  17.800   17.900    2.600    2.650   0.1027
  17.800   17.900    2.650    2.700   0.1040
  17.800   17.900    2.700    2.750   0.0225
  17.800   17.900    2.750    2.800   0.0366
  17.800   17.900    2.800    2.850   0.0446
  17.800   17.900    2.850    2.900   0.0256
  17.800   17.900    2.900    2.950   0.0701
  17.800   17.900    2.950    3.000   0.1156
  17.800   17.900    3.000    3.050   0.0513
  17.800   17.900    3.050    3.100   0.1022
  17.800   17.900    3.100    3.150   0.0576
  17.800   17.900    3.150    3.200   0.0442
  17.800   17.900    3.200    3.250   0.0000
  17.800   17.900    3.250    3.300   0.0000
  17.800   17.900    3.300    3.350   0.0000
  17.800   17.900    3.350    3.400   0.0000
  17.800   17.900    3.400    3.450   0.0000
  17.800   17.900    3.450    3.500   0.0000
  17.800   17.900    3.500    3.550   0.0000
  17.800   17.900    3.550    3.600   0.0000
  17.800   17.900    3.600    3.650   0.0000
  17.800   17.900    3.650    3.700   0.0000
  17.800   17.900    3.700    3.750   0.0000
  17.800   17.900    3.750    3.800   0.0000
  17.800   17.900    3.800    3.850   0.0000
  17.800   17.900    3.850    3.900   0.0000
  17.800   17.900    3.900    3.950   0.0000
  17.800   17.900    3.950    4.000   0.0000
  17.800   17.900    4.000    4.050   0.0000
  17.800   17.900    4.050    4.100   0.0000
  17.800   17.900    4.100    4.150   0.0000
  17.800   17.900    4.150    4.200   0.0000
  17.800   17.900    4.200    4.250   0.0000
  17.800   17.900    4.250    4.300   0.0000
  17.800   17.900    4.300    4.350   0.0000
  17.800   17.900    4.350    4.400   0.0000
  17.800   17.900    4.400    4.450   0.0000
  17.800   17.900    4.450    4.500   0.0000
  17.800   17.900    4.500    4.550   0.0000
  17.800   17.900    4.550    4.600   0.0000
  17.900   18.000    2.000    2.050   0.1459
  17.900   18.000    2.050    2.100   0.2189
  17.900   18.000    2.100    2.150   0.3252
  17.900   18.000    2.150    2.200   0.3487
  17.900   18.000    2.200    2.250   0.4439
  17.900   18.000    2.250    2.300   0.4975
  17.900   18.000    2.300    2.350   0.5000
  17.900   18.000    2.350    2.400   0.5614
  17.900   18.000    2.400    2.450   0.4948
  17.900   18.000    2.450    2.500   0.4372
  17.900   18.000    2.500    2.550   0.4703
  17.900   18.000    2.550    2.600   0.4171
  17.900   18.000    2.600    2.650   0.3515
  17.900   18.000    2.650    2.700   0.2268
  17.900   18.000    2.700    2.750   0.0791
  17.900   18.000    2.750    2.800   0.0870
  17.900   18.000    2.800    2.850   0.0928
  17.900   18.000    2.850    2.900   0.1429
  17.900   18.000    2.900    2.950   0.1088
  17.900   18.000    2.950    3.000   0.2963
  17.900   18.000    3.000    3.050   0.1689
  17.900   18.000    3.050    3.100   0.2342
  17.900   18.000    3.100    3.150   0.1364
  17.900   18.000    3.150    3.200   0.0959
  17.900   18.000    3.200    3.250   0.0082
  17.900   18.000    3.250    3.300   0.0164
  17.900   18.000    3.300    3.350   0.0100
  17.900   18.000    3.350    3.400   0.0000
  17.900   18.000    3.400    3.450   0.0000
  17.900   18.000    3.450    3.500   0.0000
  17.900   18.000    3.500    3.550   0.0000
  17.900   18.000    3.550    3.600   0.0000
  17.900   18.000    3.600    3.650   0.0000
  17.900   18.000    3.650    3.700   0.0000
  17.900   18.000    3.700    3.750   0.0000
  17.900   18.000    3.750    3.800   0.0000
  17.900   18.000    3.800    3.850   0.0000
  17.900   18.000    3.850    3.900   0.0000
  17.900   18.000    3.900    3.950   0.0000
  17.900   18.000    3.950    4.000   0.0000
  17.900   18.000    4.000    4.050   0.0000
  17.900   18.000    4.050    4.100   0.0000
  17.900   18.000    4.100    4.150   0.0000
  17.900   18.000    4.150    4.200   0.0000
  17.900   18.000    4.200    4.250   0.0000
  17.900   18.000    4.250    4.300   0.0000
  17.900   18.000    4.300    4.350   0.0000
  17.900   18.000    4.350    4.400   0.0000
  17.900   18.000    4.400    4.450   0.0000
  17.900   18.000    4.450    4.500   0.0000
  17.900   18.000    4.500    4.550   0.0000
  17.900   18.000    4.550    4.600   0.0000
  18.000   18.100    2.000    2.050   0.3198
  18.000   18.100    2.050    2.100   0.4050
