 g_start    g_end  z_start    z_end     sel.
  17.800   17.900    2.000    2.050   0.0051
  17.800   17.900    2.050    2.100   0.0305
  17.800   17.900    2.100    2.150   0.0842
  17.800   17.900    2.150    2.200   0.1571
  17.800   17.900    2.200    2.250   0.2105
  17.800   17.900    2.250    2.300   0.2891
  17.800   17.900    2.300    2.350   0.2577
  17.800   17.900    2.350    2.400   0.3302
  17.800   17.900    2.400    2.450   0.2714
  17.800   17.900    2.450    2.500   0.2879
  17.800   17.900    2.500    2.550   0.2596
  17.800   17.900    2.550    2.600   0.2390
  17.800   17.900    2.600    2.650   0.1484
  17.800   17.900    2.650    2.700   0.1064
  17.800   17.900    2.700    2.750   0.0638
  17.800   17.900    2.750    2.800   0.0198
  17.800   17.900    2.800    2.850   0.0253
  17.800   17.900    2.850    2.900   0.0369
  17.800   17.900    2.900    2.950   0.0510
  17.800   17.900    2.950    3.000   0.0582
  17.800   17.900    3.000    3.050   0.0361
  17.800   17.900    3.050    3.100   0.0150
  17.800   17.900    3.100    3.150   0.0363
  17.800   17.900    3.150    3.200   0.0049
  17.800   17.900    3.200    3.250   0.0000
  17.800   17.900    3.250    3.300   0.0000
  17.800   17.900    3.300    3.350   0.0000
  17.800   17.900    3.350    3.400   0.0000
  17.800   17.900    3.400    3.450   0.0000
  17.800   17.900    3.450    3.500   0.0000
  17.800   17.900    3.500    3.550   0.0000
  17.800   17.900    3.550    3.600   0.0000
  17.800   17.900    3.600    3.650   0.0000
  17.800   17.900    3.650    3.700   0.0000
  17.800   17.900    3.700    3.750   0.0000
  17.800   17.900    3.750    3.800   0.0000
  17.800   17.900    3.800    3.850   0.0000
  17.800   17.900    3.850    3.900   0.0000
  17.800   17.900    3.900    3.950   0.0000
  17.800   17.900    3.950    4.000   0.0000
  17.800   17.900    4.000    4.050   0.0000
  17.800   17.900    4.050    4.100   0.0000
  17.800   17.900    4.100    4.150   0.0000
  17.800   17.900    4.150    4.200   0.0000
  17.800   17.900    4.200    4.250   0.0000
  17.800   17.900    4.250    4.300   0.0000
  17.800   17.900    4.300    4.350   0.0000
  17.800   17.900    4.350    4.400   0.0000
  17.800   17.900    4.400    4.450   0.0000
  17.800   17.900    4.450    4.500   0.0000
  17.800   17.900    4.500    4.550   0.0000
  17.800   17.900    4.550    4.600   0.0000
  17.900   18.000    2.000    2.050   0.0737
  17.900   18.000    2.050    2.100   0.1368
  17.900   18.000    2.100    2.150   0.2040
  17.900   18.000    2.150    2.200   0.3399
  17.900   18.000    2.200    2.250   0.3412
  17.900   18.000    2.250    2.300   0.5027
  17.900   18.000    2.300    2.350   0.4847
  17.900   18.000    2.350    2.400   0.6158
  17.900   18.000    2.400    2.450   0.6020
  17.900   18.000    2.450    2.500   0.5388
  17.900   18.000    2.500    2.550   0.5126
  17.900   18.000    2.550    2.600   0.4239
  17.900   18.000    2.600    2.650   0.3349
  17.900   18.000    2.650    2.700   0.2949
  17.900   18.000    2.700    2.750   0.1590
  17.900   18.000    2.750    2.800   0.1034
  17.900   18.000    2.800    2.850   0.1015
  17.900   18.000    2.850    2.900   0.1602
  17.900   18.000    2.900    2.950   0.1840
  17.900   18.000    2.950    3.000   0.2475
  17.900   18.000    3.000    3.050   0.1582
  17.900   18.000    3.050    3.100   0.1538
  17.900   18.000    3.100    3.150   0.0569
  17.900   18.000    3.150    3.200   0.0556
  17.900   18.000    3.200    3.250   0.0381
  17.900   18.000    3.250    3.300   0.0104
  17.900   18.000    3.300    3.350   0.0000
  17.900   18.000    3.350    3.400   0.0000
  17.900   18.000    3.400    3.450   0.0000
  17.900   18.000    3.450    3.500   0.0000
  17.900   18.000    3.500    3.550   0.0000
  17.900   18.000    3.550    3.600   0.0000
  17.900   18.000    3.600    3.650   0.0000
  17.900   18.000    3.650    3.700   0.0000
  17.900   18.000    3.700    3.750   0.0000
  17.900   18.000    3.750    3.800   0.0000
  17.900   18.000    3.800    3.850   0.0000
  17.900   18.000    3.850    3.900   0.0000
  17.900   18.000    3.900    3.950   0.0000
  17.900   18.000    3.950    4.000   0.0000
  17.900   18.000    4.000    4.050   0.0000
  17.900   18.000    4.050    4.100   0.0000
  17.900   18.000    4.100    4.150   0.0000
  17.900   18.000    4.150    4.200   0.0000
  17.900   18.000    4.200    4.250   0.0000
  17.900   18.000    4.250    4.300   0.0000
  17.900   18.000    4.300    4.350   0.0000
  17.900   18.000    4.350    4.400   0.0000
  17.900   18.000    4.400    4.450   0.0000
  17.900   18.000    4.450    4.500   0.0000
  17.900   18.000    4.500    4.550   0.0000
  17.900   18.000    4.550    4.600   0.0000
  18.000   18.100    2.000    2.050   0.2266
  18.000   18.100    2.050    2.100   0.3284
  18.000   18.100    2.100    2.150   0.4635
  18.000   18.100    2.150    2.200   0.5571
  18.000   18.100    2.200    2.250   0.6667
  18.000   18.100    2.250    2.300   0.6250
  18.000   18.100    2.300    2.350   0.7454
  18.000   18.100    2.350    2.400   0.7854
  18.000   18.100    2.400    2.450   0.7394
  18.000   18.100    2.450    2.500   0.7448
  18.000   18.100    2.500    2.550   0.7727
  18.000   18.100    2.550    2.600   0.6244
  18.000   18.100    2.600    2.650   0.5775
  18.000   18.100    2.650    2.700   0.3807
  18.000   18.100    2.700    2.750   0.3645
  18.000   18.100    2.750    2.800   0.3077
  18.000   18.100    2.800    2.850   0.2911
  18.000   18.100    2.850    2.900   0.2462
  18.000   18.100    2.900    2.950   0.3041
  18.000   18.100    2.950    3.000   0.4020
  18.000   18.100    3.000    3.050   0.4455
  18.000   18.100    3.050    3.100   0.4208
  18.000   18.100    3.100    3.150   0.2573
  18.000   18.100    3.150    3.200   0.2105
  18.000   18.100    3.200    3.250   0.1457
  18.000   18.100    3.250    3.300   0.0802
  18.000   18.100    3.300    3.350   0.0151
  18.000   18.100    3.350    3.400   0.0000
  18.000   18.100    3.400    3.450   0.0000
  18.000   18.100    3.450    3.500   0.0000
  18.000   18.100    3.500    3.550   0.0000
  18.000   18.100    3.550    3.600   0.0000
  18.000   18.100    3.600    3.650   0.0000
  18.000   18.100    3.650    3.700   0.0000
  18.000   18.100    3.700    3.750   0.0000
  18.000   18.100    3.750    3.800   0.0000
  18.000   18.100    3.800    3.850   0.0000
  18.000   18.100    3.850    3.900   0.0000
  18.000   18.100    3.900    3.950   0.0000
  18.000   18.100    3.950    4.000   0.0000
  18.000   18.100    4.000    4.050   0.0000
  18.000   18.100    4.050    4.100   0.0000
  18.000   18.100    4.100    4.150   0.0000
  18.000   18.100    4.150    4.200   0.0000
  18.000   18.100    4.200    4.250   0.0000
  18.000   18.100    4.250    4.300   0.0000
  18.000   18.100    4.300    4.350   0.0000
  18.000   18.100    4.350    4.400   0.0000
  18.000   18.100    4.400    4.450   0.0000
  18.000   18.100    4.450    4.500   0.0000
  18.000   18.100    4.500    4.550   0.0000
  18.000   18.100    4.550    4.600   0.0000
  18.100   18.200    2.000    2.050   0.4734
  18.100   18.200    2.050    2.100   0.6368
  18.100   18.200    2.100    2.150   0.7337
  18.100   18.200    2.150    2.200   0.7436
  18.100   18.200    2.200    2.250   0.8413
  18.100   18.200    2.250    2.300   0.8737
  18.100   18.200    2.300    2.350   0.9497
  18.100   18.200    2.350    2.400   0.9242
  18.100   18.200    2.400    2.450   0.9279
  18.100   18.200    2.450    2.500   0.9124
  18.100   18.200    2.500    2.550   0.8564
  18.100   18.200    2.550    2.600   0.7736
  18.100   18.200    2.600    2.650   0.6905
  18.100   18.200    2.650    2.700   0.6436
  18.100   18.200    2.700    2.750   0.5736
  18.100   18.200    2.750    2.800   0.4726
  18.100   18.200    2.800    2.850   0.4973
  18.100   18.200    2.850    2.900   0.4630
  18.100   18.200    2.900    2.950   0.5580
  18.100   18.200    2.950    3.000   0.6954
  18.100   18.200    3.000    3.050   0.6479
  18.100   18.200    3.050    3.100   0.6373
  18.100   18.200    3.100    3.150   0.5928
  18.100   18.200    3.150    3.200   0.5220
  18.100   18.200    3.200    3.250   0.3687
  18.100   18.200    3.250    3.300   0.2410
  18.100   18.200    3.300    3.350   0.0510
  18.100   18.200    3.350    3.400   0.0047
  18.100   18.200    3.400    3.450   0.0000
  18.100   18.200    3.450    3.500   0.0000
  18.100   18.200    3.500    3.550   0.0000
  18.100   18.200    3.550    3.600   0.0000
  18.100   18.200    3.600    3.650   0.0000
  18.100   18.200    3.650    3.700   0.0000
  18.100   18.200    3.700    3.750   0.0000
  18.100   18.200    3.750    3.800   0.0000
  18.100   18.200    3.800    3.850   0.0000
  18.100   18.200    3.850    3.900   0.0000
  18.100   18.200    3.900    3.950   0.0000
  18.100   18.200    3.950    4.000   0.0000
  18.100   18.200    4.000    4.050   0.0000
  18.100   18.200    4.050    4.100   0.0000
  18.100   18.200    4.100    4.150   0.0000
  18.100   18.200    4.150    4.200   0.0000
  18.100   18.200    4.200    4.250   0.0000
  18.100   18.200    4.250    4.300   0.0000
  18.100   18.200    4.300    4.350   0.0000
  18.100   18.200    4.350    4.400   0.0000
  18.100   18.200    4.400    4.450   0.0000
  18.100   18.200    4.450    4.500   0.0000
  18.100   18.200    4.500    4.550   0.0000
  18.100   18.200    4.550    4.600   0.0000
  18.200   18.300    2.000    2.050   0.6980
  18.200   18.300    2.050    2.100   0.8291
  18.200   18.300    2.100    2.150   0.8502
  18.200   18.300    2.150    2.200   0.8878
  18.200   18.300    2.200    2.250   0.9493
  18.200   18.300    2.250    2.300   0.9701
  18.200   18.300    2.300    2.350   0.9596
  18.200   18.300    2.350    2.400   0.9796
  18.200   18.300    2.400    2.450   0.9602
  18.200   18.300    2.450    2.500   0.9557
  18.200   18.300    2.500    2.550   0.8852
  18.200   18.300    2.550    2.600   0.8168
  18.200   18.300    2.600    2.650   0.8061
  18.200   18.300    2.650    2.700   0.6667
  18.200   18.300    2.700    2.750   0.6952
  18.200   18.300    2.750    2.800   0.6502
  18.200   18.300    2.800    2.850   0.6750
  18.200   18.300    2.850    2.900   0.7065
  18.200   18.300    2.900    2.950   0.7333
  18.200   18.300    2.950    3.000   0.8511
  18.200   18.300    3.000    3.050   0.8639
  18.200   18.300    3.050    3.100   0.8377
  18.200   18.300    3.100    3.150   0.8413
  18.200   18.300    3.150    3.200   0.7249
  18.200   18.300    3.200    3.250   0.6203
  18.200   18.300    3.250    3.300   0.4673
  18.200   18.300    3.300    3.350   0.2206
  18.200   18.300    3.350    3.400   0.0394
  18.200   18.300    3.400    3.450   0.0045
  18.200   18.300    3.450    3.500   0.0000
  18.200   18.300    3.500    3.550   0.0000
  18.200   18.300    3.550    3.600   0.0000
  18.200   18.300    3.600    3.650   0.0000
  18.200   18.300    3.650    3.700   0.0000
  18.200   18.300    3.700    3.750   0.0000
  18.200   18.300    3.750    3.800   0.0000
