 r_start    r_end  z_start    z_end     sel.
  17.600   17.700    2.000    2.050   0.0000
  17.600   17.700    2.050    2.100   0.0000
  17.600   17.700    2.100    2.150   0.0000
  17.600   17.700    2.150    2.200   0.0000
  17.600   17.700    2.200    2.250   0.0000
  17.600   17.700    2.250    2.300   0.0000
  17.600   17.700    2.300    2.350   0.0000
  17.600   17.700    2.350    2.400   0.0000
  17.600   17.700    2.400    2.450   0.0052
  17.600   17.700    2.450    2.500   0.0000
  17.600   17.700    2.500    2.550   0.0000
  17.600   17.700    2.550    2.600   0.0050
  17.600   17.700    2.600    2.650   0.0000
  17.600   17.700    2.650    2.700   0.0000
  17.600   17.700    2.700    2.750   0.0000
  17.600   17.700    2.750    2.800   0.0000
  17.600   17.700    2.800    2.850   0.0000
  17.600   17.700    2.850    2.900   0.0000
  17.600   17.700    2.900    2.950   0.0000
  17.600   17.700    2.950    3.000   0.0100
  17.600   17.700    3.000    3.050   0.0047
  17.600   17.700    3.050    3.100   0.0051
  17.600   17.700    3.100    3.150   0.0191
  17.600   17.700    3.150    3.200   0.0102
  17.600   17.700    3.200    3.250   0.0000
  17.600   17.700    3.250    3.300   0.0193
  17.600   17.700    3.300    3.350   0.0051
  17.600   17.700    3.350    3.400   0.0141
  17.600   17.700    3.400    3.450   0.0107
  17.600   17.700    3.450    3.500   0.0000
  17.600   17.700    3.500    3.550   0.0000
  17.600   17.700    3.550    3.600   0.0051
  17.600   17.700    3.600    3.650   0.0000
  17.600   17.700    3.650    3.700   0.0000
  17.600   17.700    3.700    3.750   0.0000
  17.600   17.700    3.750    3.800   0.0000
  17.600   17.700    3.800    3.850   0.0000
  17.600   17.700    3.850    3.900   0.0000
  17.600   17.700    3.900    3.950   0.0051
  17.600   17.700    3.950    4.000   0.0000
  17.600   17.700    4.000    4.050   0.0000
  17.600   17.700    4.050    4.100   0.0000
  17.600   17.700    4.100    4.150   0.0000
  17.600   17.700    4.150    4.200   0.0000
  17.600   17.700    4.200    4.250   0.0000
  17.600   17.700    4.250    4.300   0.0000
  17.600   17.700    4.300    4.350   0.0000
  17.600   17.700    4.350    4.400   0.0000
  17.600   17.700    4.400    4.450   0.0000
  17.600   17.700    4.450    4.500   0.0000
  17.600   17.700    4.500    4.550   0.0000
  17.600   17.700    4.550    4.600   0.0000
  17.700   17.800    2.000    2.050   0.0000
  17.700   17.800    2.050    2.100   0.0000
  17.700   17.800    2.100    2.150   0.0000
  17.700   17.800    2.150    2.200   0.0000
  17.700   17.800    2.200    2.250   0.0000
  17.700   17.800    2.250    2.300   0.0096
  17.700   17.800    2.300    2.350   0.0404
  17.700   17.800    2.350    2.400   0.0266
  17.700   17.800    2.400    2.450   0.0192
  17.700   17.800    2.450    2.500   0.0181
  17.700   17.800    2.500    2.550   0.0357
  17.700   17.800    2.550    2.600   0.0047
  17.700   17.800    2.600    2.650   0.0183
  17.700   17.800    2.650    2.700   0.0101
  17.700   17.800    2.700    2.750   0.0099
  17.700   17.800    2.750    2.800   0.0051
  17.700   17.800    2.800    2.850   0.0151
  17.700   17.800    2.850    2.900   0.0102
  17.700   17.800    2.900    2.950   0.0312
  17.700   17.800    2.950    3.000   0.0667
  17.700   17.800    3.000    3.050   0.0773
  17.700   17.800    3.050    3.100   0.0941
  17.700   17.800    3.100    3.150   0.1000
  17.700   17.800    3.150    3.200   0.1960
  17.700   17.800    3.200    3.250   0.1889
  17.700   17.800    3.250    3.300   0.2637
  17.700   17.800    3.300    3.350   0.2356
  17.700   17.800    3.350    3.400   0.1675
  17.700   17.800    3.400    3.450   0.0577
  17.700   17.800    3.450    3.500   0.0000
  17.700   17.800    3.500    3.550   0.0000
  17.700   17.800    3.550    3.600   0.0000
  17.700   17.800    3.600    3.650   0.0049
  17.700   17.800    3.650    3.700   0.0099
  17.700   17.800    3.700    3.750   0.0091
  17.700   17.800    3.750    3.800   0.0057
  17.700   17.800    3.800    3.850   0.0000
  17.700   17.800    3.850    3.900   0.0000
  17.700   17.800    3.900    3.950   0.0000
  17.700   17.800    3.950    4.000   0.0000
  17.700   17.800    4.000    4.050   0.0000
  17.700   17.800    4.050    4.100   0.0000
  17.700   17.800    4.100    4.150   0.0000
  17.700   17.800    4.150    4.200   0.0000
  17.700   17.800    4.200    4.250   0.0000
  17.700   17.800    4.250    4.300   0.0000
  17.700   17.800    4.300    4.350   0.0000
  17.700   17.800    4.350    4.400   0.0000
  17.700   17.800    4.400    4.450   0.0000
  17.700   17.800    4.450    4.500   0.0000
  17.700   17.800    4.500    4.550   0.0000
  17.700   17.800    4.550    4.600   0.0000
  17.800   17.900    2.000    2.050   0.0000
  17.800   17.900    2.050    2.100   0.0048
  17.800   17.900    2.100    2.150   0.0000
  17.800   17.900    2.150    2.200   0.0093
  17.800   17.900    2.200    2.250   0.1005
  17.800   17.900    2.250    2.300   0.3105
  17.800   17.900    2.300    2.350   0.2629
  17.800   17.900    2.350    2.400   0.3182
  17.800   17.900    2.400    2.450   0.3208
  17.800   17.900    2.450    2.500   0.3763
  17.800   17.900    2.500    2.550   0.2459
  17.800   17.900    2.550    2.600   0.2143
  17.800   17.900    2.600    2.650   0.1386
  17.800   17.900    2.650    2.700   0.1472
  17.800   17.900    2.700    2.750   0.0815
  17.800   17.900    2.750    2.800   0.0659
  17.800   17.900    2.800    2.850   0.1031
  17.800   17.900    2.850    2.900   0.1952
  17.800   17.900    2.900    2.950   0.2823
  17.800   17.900    2.950    3.000   0.4493
  17.800   17.900    3.000    3.050   0.5248
  17.800   17.900    3.050    3.100   0.6100
  17.800   17.900    3.100    3.150   0.5736
  17.800   17.900    3.150    3.200   0.6176
  17.800   17.900    3.200    3.250   0.6218
  17.800   17.900    3.250    3.300   0.6768
  17.800   17.900    3.300    3.350   0.7121
  17.800   17.900    3.350    3.400   0.5340
  17.800   17.900    3.400    3.450   0.3143
  17.800   17.900    3.450    3.500   0.0293
  17.800   17.900    3.500    3.550   0.0000
  17.800   17.900    3.550    3.600   0.0000
  17.800   17.900    3.600    3.650   0.0053
  17.800   17.900    3.650    3.700   0.0000
  17.800   17.900    3.700    3.750   0.0000
  17.800   17.900    3.750    3.800   0.0000
  17.800   17.900    3.800    3.850   0.0052
  17.800   17.900    3.850    3.900   0.0000
  17.800   17.900    3.900    3.950   0.0000
  17.800   17.900    3.950    4.000   0.0000
  17.800   17.900    4.000    4.050   0.0054
  17.800   17.900    4.050    4.100   0.0000
  17.800   17.900    4.100    4.150   0.0000
  17.800   17.900    4.150    4.200   0.0000
  17.800   17.900    4.200    4.250   0.0000
  17.800   17.900    4.250    4.300   0.0000
  17.800   17.900    4.300    4.350   0.0000
  17.800   17.900    4.350    4.400   0.0000
  17.800   17.900    4.400    4.450   0.0000
  17.800   17.900    4.450    4.500   0.0000
  17.800   17.900    4.500    4.550   0.0000
  17.800   17.900    4.550    4.600   0.0000
  17.900   18.000    2.000    2.050   0.0000
  17.900   18.000    2.050    2.100   0.0000
  17.900   18.000    2.100    2.150   0.0054
  17.900   18.000    2.150    2.200   0.0162
  17.900   18.000    2.200    2.250   0.2311
  17.900   18.000    2.250    2.300   0.6178
  17.900   18.000    2.300    2.350   0.7876
  17.900   18.000    2.350    2.400   0.8020
  17.900   18.000    2.400    2.450   0.7380
  17.900   18.000    2.450    2.500   0.7486
  17.900   18.000    2.500    2.550   0.7558
  17.900   18.000    2.550    2.600   0.6497
  17.900   18.000    2.600    2.650   0.5285
  17.900   18.000    2.650    2.700   0.4660
  17.900   18.000    2.700    2.750   0.4433
  17.900   18.000    2.750    2.800   0.4107
  17.900   18.000    2.800    2.850   0.5075
  17.900   18.000    2.850    2.900   0.5225
  17.900   18.000    2.900    2.950   0.6231
  17.900   18.000    2.950    3.000   0.8360
  17.900   18.000    3.000    3.050   0.8883
  17.900   18.000    3.050    3.100   0.9378
  17.900   18.000    3.100    3.150   0.9324
  17.900   18.000    3.150    3.200   0.9317
  17.900   18.000    3.200    3.250   0.9575
  17.900   18.000    3.250    3.300   0.9310
  17.900   18.000    3.300    3.350   0.8990
  17.900   18.000    3.350    3.400   0.7656
  17.900   18.000    3.400    3.450   0.3939
  17.900   18.000    3.450    3.500   0.0808
  17.900   18.000    3.500    3.550   0.0097
  17.900   18.000    3.550    3.600   0.0000
  17.900   18.000    3.600    3.650   0.0000
  17.900   18.000    3.650    3.700   0.0000
  17.900   18.000    3.700    3.750   0.0000
  17.900   18.000    3.750    3.800   0.0050
  17.900   18.000    3.800    3.850   0.0000
  17.900   18.000    3.850    3.900   0.0000
  17.900   18.000    3.900    3.950   0.0046
  17.900   18.000    3.950    4.000   0.0052
  17.900   18.000    4.000    4.050   0.0000
  17.900   18.000    4.050    4.100   0.0000
  17.900   18.000    4.100    4.150   0.0000
  17.900   18.000    4.150    4.200   0.0000
  17.900   18.000    4.200    4.250   0.0000
  17.900   18.000    4.250    4.300   0.0000
  17.900   18.000    4.300    4.350   0.0000
  17.900   18.000    4.350    4.400   0.0000
