# bj LF at z = 3.3 (DT_uni = 1.79 -- 1.99e9 ) from NF+12
# Omega_m = 0.25 Lambda = 0.75 Omega_b = 0.045 h0 = 0.7   
#		mbj		Phi (total)	Phi (visible)
       -29.6       -1000       -1000
       -28.7      -9.569      -9.599
       -27.8      -7.698      -7.758
       -26.9      -6.832      -6.925
         -26      -6.271      -6.403
       -25.1      -5.783      -5.959
       -24.2      -5.362      -5.588
       -23.3          -5      -5.282
       -22.4      -4.693      -5.038
       -21.5      -4.424      -4.843
       -20.6      -4.185      -4.695
       -19.7      -3.956      -4.582
       -18.8      -3.752      -4.534
       -17.9      -3.615      -4.638
         -17      -3.578      -5.174

