# logLbol  Mi(z=2)  log(dPhi/dlogL)  log(dPhi/dMi) 
# density in units of Mpc^-3
# use cosmology 0.26,0.74,0.7,0.0435,0.78,0.95
42.000 -13.397  -4.164  -5.475
42.100 -13.714  -4.087  -5.390
42.200 -14.029  -4.019  -5.313
42.300 -14.342  -3.959  -5.246
42.400 -14.654  -3.907  -5.186
42.500 -14.964  -3.863  -5.133
42.600 -15.273  -3.826  -5.087
42.700 -15.579  -3.794  -5.048
42.800 -15.884  -3.769  -5.014
42.900 -16.187  -3.749  -4.986
43.000 -16.489  -3.733  -4.962
43.100 -16.788  -3.723  -4.943
43.200 -17.086  -3.716  -4.928
43.300 -17.381  -3.712  -4.917
43.400 -17.675  -3.713  -4.909
43.500 -17.967  -3.716  -4.904
43.600 -18.258  -3.722  -4.902
43.700 -18.546  -3.732  -4.903
43.800 -18.833  -3.743  -4.907
43.900 -19.118  -3.758  -4.913
44.000 -19.401  -3.775  -4.922
44.100 -19.683  -3.796  -4.934
44.200 -19.963  -3.819  -4.950
44.300 -20.242  -3.846  -4.968
44.400 -20.519  -3.876  -4.990
44.500 -20.794  -3.910  -5.016
44.600 -21.069  -3.948  -5.046
44.700 -21.342  -3.990  -5.080
44.800 -21.614  -4.037  -5.118
44.900 -21.884  -4.087  -5.161
45.000 -22.154  -4.143  -5.208
45.100 -22.422  -4.202  -5.259
45.200 -22.689  -4.267  -5.315
45.300 -22.956  -4.335  -5.376
45.400 -23.221  -4.409  -5.441
45.500 -23.486  -4.487  -5.511
45.600 -23.749  -4.569  -5.585
45.700 -24.013  -4.656  -5.663
45.800 -24.275  -4.747  -5.746
45.900 -24.537  -4.843  -5.834
46.000 -24.798  -4.943  -5.926
46.100 -25.058  -5.048  -6.023
46.200 -25.318  -5.158  -6.125
46.300 -25.577  -5.273  -6.231
46.400 -25.836  -5.392  -6.343
46.500 -26.095  -5.517  -6.459
46.600 -26.353  -5.647  -6.581
46.700 -26.611  -5.783  -6.709
46.800 -26.868  -5.925  -6.842
46.900 -27.125  -6.072  -6.982
47.000 -27.382  -6.227  -7.128
47.100 -27.638  -6.388  -7.281
47.200 -27.894  -6.556  -7.441
47.300 -28.150  -6.732  -7.609
47.400 -28.406  -6.917  -7.785
47.500 -28.661  -7.109  -7.969
47.600 -28.917  -7.311  -8.163
47.700 -29.172  -7.523  -8.367
47.800 -29.427  -7.746  -8.581
47.900 -29.682  -7.979  -8.806
48.000 -29.936  -8.224  -9.043
48.100 -30.191  -8.481  -9.292
48.200 -30.445  -8.752  -9.554
48.300 -30.699  -9.036  -9.830
48.400 -30.954  -9.335 -10.121
48.500 -31.208  -9.650 -10.428
48.600 -31.462  -9.981 -10.751
48.700 -31.716 -10.330 -11.091
48.800 -31.970 -10.696 -11.450
48.900 -32.223 -11.082 -11.827
49.000 -32.477 -11.488 -12.225
49.100 -32.731 -11.915 -12.643
49.200 -32.984 -12.363 -13.083
49.300 -33.238 -12.833 -13.546
49.400 -33.492 -13.327 -14.031
49.500 -33.745 -13.844 -14.540
49.600 -33.998 -14.386 -15.074
49.700 -34.252 -14.954 -15.634
49.800 -34.505 -15.549 -16.220
49.900 -34.759 -16.171 -16.835
50.000 -35.012 -16.822 -17.477
