  0.444 &   -23.661 &   -23.550 &       1 &   -6.757 &  174.786 \\
  0.601 &   -22.940 &   -22.950 &       3 &   -6.280 &  302.739 \\
  0.520 &   -22.648 &   -22.650 &       2 &   -6.456 &  247.185 \\
  0.490 &   -22.401 &   -22.350 &       2 &   -6.456 &  247.185 \\
  0.569 &   -21.938 &   -22.050 &       1 &   -6.757 &  174.786 \\
  0.562 &   -21.819 &   -21.750 &       1 &   -6.757 &  174.786 \\
  0.310 &   -21.394 &   -21.450 &       2 &   -6.456 &  247.185 \\
  0.460 &   -20.399 &   -20.250 &       1 &   -6.757 &  174.786 \\
  0.981 &   -26.115 &   -26.250 &       1 &   -7.065 &   86.053 \\
  0.900 &   -25.618 &   -25.650 &       3 &   -6.588 &  149.049 \\
  0.791 &   -25.311 &   -25.350 &       1 &   -7.065 &   86.053 \\
  0.986 &   -25.021 &   -25.050 &       2 &   -6.764 &  121.698 \\
  0.950 &   -24.444 &   -24.450 &      12 &   -5.986 &  298.098 \\
  0.896 &   -24.150 &   -24.150 &       8 &   -6.162 &  243.396 \\
  1.141 &   -23.820 &   -23.850 &      12 &   -5.986 &  298.098 \\
  0.881 &   -23.566 &   -23.550 &      11 &   -6.024 &  285.407 \\
  1.088 &   -23.238 &   -23.250 &      12 &   -5.986 &  298.098 \\
  0.849 &   -22.978 &   -22.950 &      12 &   -5.986 &  298.098 \\
  0.938 &   -22.666 &   -22.650 &      18 &   -5.810 &  365.094 \\
  1.129 &   -22.325 &   -22.350 &      10 &   -6.065 &  272.125 \\
  0.997 &   -22.044 &   -22.050 &      16 &   -5.861 &  344.214 \\
  1.015 &   -21.751 &   -21.750 &       5 &   -6.366 &  192.421 \\
  0.775 &   -21.457 &   -21.450 &       3 &   -6.588 &  149.049 \\
  0.607 &   -21.105 &   -21.150 &       3 &   -6.588 &  149.049 \\
  0.835 &   -20.667 &   -20.550 &       2 &   -6.764 &  121.698 \\
  0.693 &   -20.220 &   -20.250 &       1 &   -7.065 &   86.053 \\
  1.263 &   -26.293 &   -26.250 &       3 &   -6.723 &  109.308 \\
  1.266 &   -25.954 &   -25.950 &       5 &   -6.501 &  141.116 \\
  1.323 &   -25.627 &   -25.650 &       7 &   -6.355 &  166.971 \\
  1.278 &   -25.359 &   -25.350 &      13 &   -6.086 &  227.543 \\
  1.275 &   -25.051 &   -25.050 &      17 &   -5.969 &  260.205 \\
  1.258 &   -24.719 &   -24.750 &      17 &   -5.969 &  260.205 \\
  1.270 &   -24.495 &   -24.450 &      19 &   -5.921 &  275.086 \\
  1.264 &   -24.124 &   -24.150 &      27 &   -5.769 &  327.924 \\
  1.266 &   -23.880 &   -23.850 &      30 &   -5.723 &  345.662 \\
  1.313 &   -23.560 &   -23.550 &      36 &   -5.644 &  378.654 \\
  1.248 &   -23.229 &   -23.250 &      35 &   -5.656 &  373.358 \\
  1.239 &   -22.959 &   -22.950 &      31 &   -5.709 &  351.376 \\
  1.221 &   -22.654 &   -22.650 &      28 &   -5.753 &  333.941 \\
  1.199 &   -22.334 &   -22.350 &      20 &   -5.899 &  282.232 \\
  1.238 &   -22.139 &   -22.050 &       2 &   -6.899 &   89.250 \\
  0.992 &   -21.734 &   -21.750 &       5 &   -6.501 &  141.116 \\
  1.265 &   -21.509 &   -21.450 &       2 &   -6.899 &   89.250 \\
  1.068 &   -20.911 &   -20.850 &       1 &   -7.200 &   63.109 \\
  1.742 &   -27.404 &   -27.450 &       2 &   -6.962 &   77.264 \\
  1.670 &   -27.072 &   -27.150 &       1 &   -7.263 &   54.634 \\
  1.604 &   -26.641 &   -26.550 &       2 &   -6.962 &   77.264 \\
  1.655 &   -26.280 &   -26.250 &       4 &   -6.660 &  109.268 \\
  1.611 &   -25.910 &   -25.950 &       6 &   -6.484 &  133.825 \\
  1.699 &   -25.605 &   -25.650 &      11 &   -6.221 &  181.200 \\
  1.635 &   -25.319 &   -25.350 &      23 &   -5.901 &  262.015 \\
  1.644 &   -25.065 &   -25.050 &      16 &   -6.058 &  218.536 \\
  1.652 &   -24.740 &   -24.750 &      31 &   -5.771 &  304.189 \\
  1.649 &   -24.427 &   -24.450 &      33 &   -5.744 &  313.848 \\
  1.641 &   -24.148 &   -24.150 &      41 &   -5.650 &  349.828 \\
  1.601 &   -23.835 &   -23.850 &      39 &   -5.671 &  341.189 \\
  1.577 &   -23.535 &   -23.550 &      35 &   -5.718 &  323.219 \\
  1.634 &   -23.268 &   -23.250 &      40 &   -5.660 &  345.536 \\
  1.606 &   -22.966 &   -22.950 &      20 &   -5.962 &  244.330 \\
  1.576 &   -22.678 &   -22.650 &      12 &   -6.183 &  189.258 \\
  1.709 &   -22.379 &   -22.350 &       5 &   -6.564 &  122.165 \\
  1.542 &   -22.045 &   -22.050 &       4 &   -6.660 &  109.268 \\
  1.657 &   -21.327 &   -21.450 &       1 &   -7.263 &   54.634 \\
  2.012 &   -27.427 &   -27.450 &       4 &   -6.688 &  102.614 \\
  1.821 &   -27.121 &   -27.150 &       1 &   -7.290 &   51.307 \\
  2.014 &   -26.826 &   -26.850 &       3 &   -6.813 &   88.867 \\
  2.081 &   -26.512 &   -26.550 &       9 &   -6.336 &  153.921 \\
  2.039 &   -26.292 &   -26.250 &       9 &   -6.336 &  153.921 \\
  2.038 &   -25.970 &   -25.950 &      18 &   -6.035 &  217.678 \\
  2.026 &   -25.612 &   -25.650 &      20 &   -5.989 &  229.453 \\
  1.974 &   -25.325 &   -25.350 &      26 &   -5.875 &  261.616 \\
  2.142 &   -24.992 &   -25.050 &      19 &   -6.011 &  223.643 \\
  2.196 &   -24.719 &   -24.750 &      26 &   -5.875 &  261.616 \\
  2.009 &   -24.468 &   -24.450 &      25 &   -5.892 &  256.536 \\
  2.006 &   -24.136 &   -24.150 &      40 &   -5.688 &  324.495 \\
  2.013 &   -23.887 &   -23.850 &      31 &   -5.798 &  285.666 \\
  1.994 &   -23.566 &   -23.550 &      31 &   -5.798 &  285.666 \\
  2.060 &   -23.290 &   -23.250 &      22 &   -5.947 &  240.652 \\
  1.901 &   -22.955 &   -22.950 &       7 &   -6.445 &  135.746 \\
  2.209 &   -22.717 &   -22.650 &       5 &   -6.591 &  114.726 \\
  2.151 &   -22.385 &   -22.350 &       4 &   -6.688 &  102.614 \\
  2.495 &   -28.814 &   -28.950 &       1 &   -7.320 &   47.826 \\
  2.419 &   -27.052 &   -27.150 &       3 &   -6.843 &   82.836 \\
  2.356 &   -26.770 &   -26.850 &       4 &   -6.718 &   95.651 \\
  2.449 &   -26.520 &   -26.550 &       6 &   -6.542 &  117.148 \\
  2.393 &   -26.246 &   -26.250 &      10 &   -6.320 &  151.238 \\
