  2.268 &   -29.854 &   -29.850 &       1 &   -8.501 &    3.152 \\
  2.399 &   -29.138 &   -29.250 &       1 &   -8.501 &    3.152 \\
  2.273 &   -28.881 &   -28.950 &       1 &   -8.501 &    3.152 \\
  2.361 &   -28.606 &   -28.650 &       3 &   -8.024 &    5.460 \\
  2.371 &   -28.287 &   -28.350 &       9 &   -7.547 &    9.456 \\
  2.386 &   -28.021 &   -28.050 &      16 &   -7.297 &   12.609 \\
  2.397 &   -27.742 &   -27.750 &      24 &   -7.121 &   15.442 \\
  2.394 &   -27.432 &   -27.450 &      48 &   -6.820 &   21.839 \\
  2.411 &   -27.156 &   -27.150 &      74 &   -6.632 &   27.116 \\
  2.408 &   -26.838 &   -26.850 &     125 &   -6.404 &   35.242 \\
  2.401 &   -26.546 &   -26.550 &     162 &   -6.292 &   40.120 \\
  2.392 &   -26.252 &   -26.250 &     216 &   -6.167 &   46.327 \\
  2.399 &   -25.948 &   -25.950 &     271 &   -6.068 &   51.891 \\
  2.393 &   -25.633 &   -25.650 &     300 &   -6.024 &   54.597 \\
  2.390 &   -25.347 &   -25.350 &     427 &   -5.871 &   65.136 \\
  2.380 &   -25.054 &   -25.050 &     416 &   -5.882 &   64.291 \\
  2.380 &   -24.750 &   -24.750 &     400 &   -5.899 &   63.043 \\
  2.369 &   -24.458 &   -24.450 &     287 &   -6.044 &   53.401 \\
  2.320 &   -24.174 &   -24.150 &     117 &   -6.433 &   34.096 \\
  2.338 &   -23.881 &   -23.850 &      19 &   -7.223 &   13.740 \\
  2.409 &   -23.588 &   -23.550 &       6 &   -7.723 &    7.721 \\
  2.329 &   -23.242 &   -23.250 &       2 &   -8.200 &    4.458 \\
  2.307 &   -22.681 &   -22.650 &       2 &   -8.200 &    4.458 \\
  2.850 &   -29.638 &   -29.550 &       1 &   -8.498 &    3.175 \\
  2.771 &   -28.935 &   -28.950 &       6 &   -7.720 &    7.778 \\
  2.773 &   -28.591 &   -28.650 &       4 &   -7.896 &    6.351 \\
