#   <z>    <M_{i}(z=2)>  M_{i}    N_Q      \log(\Phi) \sigma x 10^{-9}

  2.268 &   -29.762 &   -29.850 &       1 &   -7.898 &   12.636 \\
  2.266 &   -28.668 &   -28.650 &       2 &   -7.597 &   17.870 \\
  2.246 &   -28.334 &   -28.350 &       2 &   -7.597 &   17.870 \\
  2.252 &   -28.080 &   -28.050 &       6 &   -7.120 &   30.952 \\
  2.253 &   -27.713 &   -27.750 &       8 &   -6.995 &   35.740 \\
  2.244 &   -27.426 &   -27.450 &       7 &   -7.053 &   33.432 \\
  2.252 &   -27.150 &   -27.150 &      17 &   -6.668 &   52.100 \\
  2.251 &   -26.833 &   -26.850 &      25 &   -6.500 &   63.181 \\
  2.253 &   -26.534 &   -26.550 &      37 &   -6.330 &   76.863 \\
  2.250 &   -26.247 &   -26.250 &      51 &   -6.191 &   90.240 \\
  2.247 &   -25.953 &   -25.950 &      66 &   -6.079 &  102.657 \\
  2.254 &   -25.649 &   -25.650 &      63 &   -6.099 &  100.296 \\
  2.249 &   -25.346 &   -25.350 &     112 &   -5.849 &  133.729 \\
  2.253 &   -25.043 &   -25.050 &     141 &   -5.749 &  150.046 \\
  2.248 &   -24.748 &   -24.750 &     110 &   -5.857 &  132.529 \\
  2.251 &   -24.462 &   -24.450 &     100 &   -5.898 &  126.362 \\
  2.249 &   -24.137 &   -24.150 &      70 &   -6.053 &  105.722 \\
  2.250 &   -23.902 &   -23.850 &      16 &   -6.694 &   50.545 \\
  2.222 &   -23.586 &   -23.550 &       2 &   -7.597 &   17.870 \\
  2.201 &   -23.283 &   -23.250 &       1 &   -7.898 &   12.636 \\
  2.205 &   -22.604 &   -22.650 &       1 &   -7.898 &   12.636 \\
#
  2.399 &   -29.031 &   -28.950 &       1 &   -7.900 &   12.603 \\
  2.332 &   -28.312 &   -28.350 &       1 &   -7.900 &   12.603 \\
  2.359 &   -28.078 &   -28.050 &       3 &   -7.422 &   21.830 \\
  2.310 &   -27.787 &   -27.750 &       3 &   -7.422 &   21.830 \\
  2.342 &   -27.421 &   -27.450 &       8 &   -6.996 &   35.648 \\
  2.357 &   -27.131 &   -27.150 &      22 &   -6.557 &   59.115 \\
  2.357 &   -26.799 &   -26.850 &      29 &   -6.437 &   67.871 \\
  2.345 &   -26.550 &   -26.550 &      35 &   -6.355 &   74.562 \\
  2.352 &   -26.236 &   -26.250 &      52 &   -6.184 &   90.884 \\
  2.352 &   -25.938 &   -25.950 &      63 &   -6.100 &  100.036 \\
  2.357 &   -25.638 &   -25.650 &      69 &   -6.061 &  104.691 \\
  2.345 &   -25.354 &   -25.350 &     113 &   -5.846 &  133.975 \\
  2.348 &   -25.071 &   -25.050 &      95 &   -5.922 &  122.842 \\
  2.347 &   -24.732 &   -24.750 &     105 &   -5.878 &  129.146 \\
  2.345 &   -24.456 &   -24.450 &      98 &   -5.908 &  124.766 \\
  2.344 &   -24.196 &   -24.150 &      63 &   -6.100 &  100.036 \\
  2.350 &   -23.869 &   -23.850 &      15 &   -6.723 &   48.812 \\
  2.342 &   -23.509 &   -23.550 &       2 &   -7.598 &   17.824 \\
#
  2.425 &   -28.086 &   -28.050 &       1 &   -7.900 &   12.593 \\
  2.458 &   -27.752 &   -27.750 &       8 &   -6.997 &   35.618 \\
  2.447 &   -27.449 &   -27.450 &       6 &   -7.122 &   30.846 \\
  2.448 &   -27.102 &   -27.150 &      15 &   -6.724 &   48.772 \\
  2.461 &   -26.823 &   -26.850 &      23 &   -6.538 &   60.394 \\
  2.455 &   -26.532 &   -26.550 &      37 &   -6.332 &   76.600 \\
