  2.268 &   -29.839 &   -29.850 &       1 &   -7.898 &   12.636 \\
  2.273 &   -28.865 &   -28.950 &       1 &   -7.898 &   12.636 \\
  2.252 &   -28.584 &   -28.650 &       2 &   -7.597 &   17.870 \\
  2.244 &   -28.252 &   -28.350 &       3 &   -7.421 &   21.886 \\
  2.250 &   -28.074 &   -28.050 &       5 &   -7.199 &   28.255 \\
  2.254 &   -27.760 &   -27.750 &       8 &   -6.995 &   35.740 \\
  2.250 &   -27.406 &   -27.450 &      12 &   -6.819 &   43.773 \\
  2.249 &   -27.134 &   -27.150 &      16 &   -6.694 &   50.545 \\
  2.251 &   -26.832 &   -26.850 &      28 &   -6.451 &   66.864 \\
  2.255 &   -26.542 &   -26.550 &      40 &   -6.296 &   79.918 \\
  2.247 &   -26.244 &   -26.250 &      56 &   -6.150 &   94.560 \\
  2.249 &   -25.958 &   -25.950 &      66 &   -6.079 &  102.657 \\
  2.254 &   -25.631 &   -25.650 &      76 &   -6.018 &  110.160 \\
  2.249 &   -25.343 &   -25.350 &     112 &   -5.849 &  133.729 \\
  2.250 &   -25.064 &   -25.050 &     136 &   -5.765 &  147.362 \\
  2.250 &   -24.750 &   -24.750 &     118 &   -5.827 &  137.264 \\
  2.250 &   -24.465 &   -24.450 &      84 &   -5.974 &  115.812 \\
  2.251 &   -24.156 &   -24.150 &      63 &   -6.099 &  100.296 \\
  2.239 &   -23.891 &   -23.850 &       7 &   -7.053 &   33.432 \\
  2.222 &   -23.664 &   -23.550 &       2 &   -7.597 &   17.870 \\
  2.201 &   -23.353 &   -23.250 &       1 &   -7.898 &   12.636 \\
  2.205 &   -22.674 &   -22.650 &       1 &   -7.898 &   12.636 \\
#
  2.399 &   -29.115 &   -29.250 &       1 &   -7.900 &   12.603 \\
  2.340 &   -28.280 &   -28.350 &       3 &   -7.422 &   21.830 \\
  2.339 &   -27.978 &   -28.050 &       3 &   -7.422 &   21.830 \\
  2.312 &   -27.658 &   -27.750 &       2 &   -7.598 &   17.824 \\
  2.343 &   -27.426 &   -27.450 &      11 &   -6.858 &   41.800 \\
  2.361 &   -27.160 &   -27.150 &      22 &   -6.557 &   59.115 \\
  2.352 &   -26.829 &   -26.850 &      34 &   -6.368 &   73.489 \\
  2.352 &   -26.541 &   -26.550 &      38 &   -6.320 &   77.692 \\
  2.350 &   -26.249 &   -26.250 &      51 &   -6.192 &   90.006 \\
  2.352 &   -25.957 &   -25.950 &      69 &   -6.061 &  104.691 \\
  2.350 &   -25.629 &   -25.650 &      83 &   -5.980 &  114.822 \\
  2.352 &   -25.345 &   -25.350 &     121 &   -5.817 &  138.636 \\
  2.342 &   -25.044 &   -25.050 &      81 &   -5.991 &  113.430 \\
  2.350 &   -24.738 &   -24.750 &     112 &   -5.850 &  133.381 \\
  2.342 &   -24.436 &   -24.450 &      98 &   -5.908 &  124.766 \\
  2.346 &   -24.174 &   -24.150 &      39 &   -6.308 &   78.708 \\
  2.354 &   -23.849 &   -23.850 &       7 &   -7.054 &   33.345 \\
  2.342 &   -23.589 &   -23.550 &       2 &   -7.598 &   17.824 \\
#
  2.447 &   -28.015 &   -28.050 &       4 &   -7.298 &   25.186 \\
  2.457 &   -27.723 &   -27.750 &       8 &   -6.997 &   35.618 \\
  2.436 &   -27.397 &   -27.450 &       6 &   -7.122 &   30.846 \\
  2.453 &   -27.142 &   -27.150 &      15 &   -6.724 &   48.772 \\
  2.460 &   -26.860 &   -26.850 &      28 &   -6.453 &   66.636 \\
  2.456 &   -26.553 &   -26.550 &      41 &   -6.287 &   80.634 \\
  2.448 &   -26.262 &   -26.250 &      57 &   -6.144 &   95.075 \\
  2.451 &   -25.957 &   -25.950 &      68 &   -6.067 &  103.844 \\
  2.445 &   -25.630 &   -25.650 &      75 &   -6.025 &  109.058 \\
  2.448 &   -25.341 &   -25.350 &      97 &   -5.913 &  124.026 \\
  2.446 &   -25.050 &   -25.050 &     118 &   -5.828 &  136.794 \\
  2.451 &   -24.749 &   -24.750 &     107 &   -5.870 &  130.262 \\
  2.440 &   -24.446 &   -24.450 &      76 &   -6.019 &  109.783 \\
  2.450 &   -24.180 &   -24.150 &      14 &   -6.754 &   47.118 \\
  2.411 &   -23.917 &   -23.850 &       2 &   -7.599 &   17.809 \\
  2.473 &   -23.603 &   -23.550 &       1 &   -7.900 &   12.593 \\
  2.458 &   -23.094 &   -22.950 &       1 &   -7.900 &   12.593 \\
  2.410 &   -22.652 &   -22.650 &       1 &   -7.900 &   12.593 \\
#
  2.580 &   -28.599 &   -28.650 &       1 &   -7.900 &   12.602 \\
  2.539 &   -28.315 &   -28.350 &       2 &   -7.599 &   17.822 \\
  2.539 &   -28.086 &   -28.050 &       2 &   -7.599 &   17.822 \\
  2.531 &   -27.758 &   -27.750 &       9 &   -6.945 &   37.806 \\
  2.541 &   -27.457 &   -27.450 &      14 &   -6.753 &   47.152 \\
  2.545 &   -27.179 &   -27.150 &      21 &   -6.577 &   57.749 \\
  2.550 &   -26.818 &   -26.850 &      31 &   -6.408 &   70.165 \\
  2.543 &   -26.537 &   -26.550 &      42 &   -6.276 &   81.670 \\
  2.545 &   -26.249 &   -26.250 &      45 &   -6.246 &   84.537 \\
  2.551 &   -25.932 &   -25.950 &      59 &   -6.129 &   96.798 \\
  2.551 &   -25.659 &   -25.650 &      71 &   -6.048 &  106.186 \\
  2.547 &   -25.344 &   -25.350 &      91 &   -5.941 &  120.215 \\
