  2.268 &   -29.854 &   -29.850 &       1 &   -7.898 &   12.636 \\
  2.273 &   -28.881 &   -28.950 &       1 &   -7.898 &   12.636 \\
  2.252 &   -28.600 &   -28.650 &       2 &   -7.597 &   17.870 \\
  2.244 &   -28.266 &   -28.350 &       3 &   -7.421 &   21.886 \\
  2.250 &   -28.089 &   -28.050 &       5 &   -7.199 &   28.255 \\
  2.254 &   -27.775 &   -27.750 &       8 &   -6.995 &   35.740 \\
  2.247 &   -27.412 &   -27.450 &      13 &   -6.784 &   45.560 \\
  2.251 &   -27.130 &   -27.150 &      16 &   -6.694 &   50.545 \\
  2.252 &   -26.837 &   -26.850 &      28 &   -6.451 &   66.864 \\
  2.255 &   -26.549 &   -26.550 &      40 &   -6.296 &   79.918 \\
  2.245 &   -26.251 &   -26.250 &      57 &   -6.143 &   95.401 \\
  2.250 &   -25.955 &   -25.950 &      70 &   -6.053 &  105.722 \\
  2.255 &   -25.627 &   -25.650 &      73 &   -6.035 &  107.963 \\
  2.249 &   -25.345 &   -25.350 &     116 &   -5.834 &  136.096 \\
  2.249 &   -25.062 &   -25.050 &     138 &   -5.759 &  148.441 \\
  2.251 &   -24.746 &   -24.750 &     115 &   -5.838 &  135.508 \\
  2.248 &   -24.470 &   -24.450 &      78 &   -6.006 &  111.600 \\
  2.251 &   -24.171 &   -24.150 &      63 &   -6.099 &  100.296 \\
  2.239 &   -23.906 &   -23.850 &       7 &   -7.053 &   33.432 \\
  2.222 &   -23.677 &   -23.550 &       2 &   -7.597 &   17.870 \\
  2.201 &   -23.366 &   -23.250 &       1 &   -7.898 &   12.636 \\
  2.205 &   -22.687 &   -22.650 &       1 &   -7.898 &   12.636 \\
  2.399 &   -29.138 &   -29.250 &       1 &   -7.900 &   12.603 \\
  2.340 &   -28.301 &   -28.350 &       3 &   -7.422 &   21.830 \\
  2.339 &   -27.998 &   -28.050 &       3 &   -7.422 &   21.830 \\
  2.312 &   -27.678 &   -27.750 &       2 &   -7.598 &   17.824 \\
  2.344 &   -27.426 &   -27.450 &      13 &   -6.786 &   45.442 \\
  2.360 &   -27.161 &   -27.150 &      21 &   -6.577 &   57.756 \\
  2.353 &   -26.843 &   -26.850 &      34 &   -6.368 &   73.489 \\
  2.350 &   -26.544 &   -26.550 &      41 &   -6.287 &   80.701 \\
  2.352 &   -26.241 &   -26.250 &      53 &   -6.175 &   91.754 \\
  2.352 &   -25.956 &   -25.950 &      67 &   -6.073 &  103.163 \\
  2.349 &   -25.630 &   -25.650 &      87 &   -5.960 &  117.556 \\
  2.352 &   -25.351 &   -25.350 &     117 &   -5.831 &  136.326 \\
  2.342 &   -25.050 &   -25.050 &      81 &   -5.991 &  113.430 \\
  2.350 &   -24.741 &   -24.750 &     118 &   -5.828 &  136.907 \\
  2.341 &   -24.431 &   -24.450 &      95 &   -5.922 &  122.842 \\
  2.345 &   -24.169 &   -24.150 &      32 &   -6.394 &   71.295 \\
  2.348 &   -23.850 &   -23.850 &       8 &   -6.996 &   35.648 \\
  2.381 &   -23.515 &   -23.550 &       1 &   -7.900 &   12.603 \\
  2.450 &   -28.014 &   -28.050 &       5 &   -7.201 &   28.159 \\
  2.456 &   -27.722 &   -27.750 &       7 &   -7.055 &   33.318 \\
  2.439 &   -27.405 &   -27.450 &       7 &   -7.055 &   33.318 \\
  2.456 &   -27.145 &   -27.150 &      15 &   -6.724 &   48.772 \\
  2.462 &   -26.858 &   -26.850 &      31 &   -6.409 &   70.114 \\
  2.454 &   -26.551 &   -26.550 &      40 &   -6.298 &   79.645 \\
  2.447 &   -26.265 &   -26.250 &      59 &   -6.129 &   96.728 \\
  2.451 &   -25.956 &   -25.950 &      69 &   -6.061 &  104.605 \\
  2.445 &   -25.628 &   -25.650 &      76 &   -6.019 &  109.783 \\
  2.447 &   -25.343 &   -25.350 &      97 &   -5.913 &  124.026 \\
  2.447 &   -25.053 &   -25.050 &     121 &   -5.817 &  138.522 \\
  2.451 &   -24.755 &   -24.750 &      99 &   -5.904 &  125.298 \\
  2.440 &   -24.464 &   -24.450 &      75 &   -6.025 &  109.058 \\
  2.447 &   -24.196 &   -24.150 &      13 &   -6.786 &   45.404 \\
  2.411 &   -23.940 &   -23.850 &       2 &   -7.599 &   17.809 \\
  2.473 &   -23.627 &   -23.550 &       1 &   -7.900 &   12.593 \\
  2.458 &   -23.118 &   -23.250 &       1 &   -7.900 &   12.593 \\
  2.410 &   -22.675 &   -22.650 &       1 &   -7.900 &   12.593 \\
  2.580 &   -28.618 &   -28.650 &       1 &   -7.900 &   12.602 \\
  2.530 &   -28.293 &   -28.350 &       3 &   -7.422 &   21.827 \\
  2.553 &   -27.941 &   -28.050 &       3 &   -7.422 &   21.827 \\
  2.527 &   -27.744 &   -27.750 &       7 &   -7.054 &   33.342 \\
