  2.01000   -27.75000        Infinity        Infinity********    4.704521e-10
  2.01000   -27.45000    1.078510e-07     -6.44429690    1080    8.148469e-10
  2.01000   -27.15000        Infinity        Infinity********    9.979796e-10
  2.01000   -26.85000        Infinity        Infinity********    1.663299e-09
  2.01000   -26.55000        Infinity        Infinity********    2.103926e-09
  2.01000   -26.25000        Infinity        Infinity********    3.155889e-09
  2.01000   -25.95000        Infinity        Infinity********    3.536223e-09
  2.01000   -25.65000        Infinity        Infinity********    3.991918e-09
  2.01000   -25.35000        Infinity        Infinity********    3.964100e-09
  2.01000   -25.05000        Infinity        Infinity********    4.128200e-09
  2.01000   -24.75000        Infinity        Infinity********    4.400676e-09
  2.01000   -24.45000        Infinity        Infinity********    4.207852e-09
  2.01000   -24.15000        Infinity        Infinity********    3.359700e-09
  2.01000   -23.85000        Infinity        Infinity********    1.560313e-09
  2.01000   -23.55000    0.000000e+00       -Infinity       0    5.761838e-10
  2.40000   -28.35000    5.921374e-09     -7.70469881      63    1.487123e-09
  2.40000   -28.05000        Infinity        Infinity********    3.310819e-09
  2.40000   -27.75000    2.663271e-08     -7.05170588     286    4.160249e-09
  2.40000   -27.45000    5.280211e-08     -6.75446998     567    5.650048e-09
  2.40000   -27.15000    8.100504e-08     -6.56860920     870    7.064261e-09
  2.40000   -26.85000    1.329080e-07     -6.35357026    1428    8.971102e-09
  2.40000   -26.55000    1.605747e-07     -6.27144410    1726    9.990374e-09
  2.40000   -26.25000    2.363056e-07     -6.10364727    2540    1.171373e-08
  2.40000   -25.95000    2.951037e-07     -6.00714658    3172    1.247689e-08
  2.40000   -25.65000    3.968506e-07     -5.87849419    4266    1.312293e-08
  2.40000   -25.35000    5.129196e-07     -5.76707201    5513    1.338770e-08
  2.40000   -25.05000    6.199047e-07     -5.68479635    6663    1.307890e-08
  2.40000   -24.75000    7.645991e-07     -5.59368747    8219    1.164787e-08
  2.40000   -24.45000    1.122720e-06     -5.42684972   12068    9.942134e-09
  2.40000   -24.15000    4.983702e-07     -5.77956920    5357    6.369998e-09
  2.40000   -23.85000    0.000000e+00       -Infinity       0    2.080125e-09
  2.40000   -23.55000    0.000000e+00       -Infinity       0    4.385288e-10
  2.80000   -28.65000    2.844135e-08     -7.02317107     303    9.371525e-10
  2.80000   -28.35000    2.335570e-08     -7.10872841     249    2.252634e-09
  2.80000   -28.05000    1.226872e-08     -7.38832205     130    2.518522e-09
  2.80000   -27.75000    2.590206e-08     -7.06378696     276    3.682955e-09
  2.80000   -27.45000    4.218707e-08     -6.85194187     450    4.633406e-09
  2.80000   -27.15000    5.989963e-08     -6.69969714     639    5.491213e-09
  2.80000   -26.85000    7.330691e-08     -6.61197632     782    6.161179e-09
  2.80000   -26.55000    1.060331e-07     -6.45167999    1131    6.772327e-09
  2.80000   -26.25000    1.384925e-07     -6.33569502    1477    7.026908e-09
  2.80000   -25.95000    1.648078e-07     -6.26014356    1758    7.451525e-09
  2.80000   -25.65000    2.293761e-07     -6.11657317    2447    8.145983e-09
  2.80000   -25.35000    2.515132e-07     -6.07656055    2683    7.790839e-09
  2.80000   -25.05000    3.423847e-07     -5.94260695    3653    7.542638e-09
  2.80000   -24.75000    3.041108e-07     -5.99408946    3245    5.819072e-09
  2.80000   -24.45000    5.462114e-08     -6.73976052     582    3.506504e-09
  2.80000   -24.15000    0.000000e+00       -Infinity       0    1.036061e-09
  3.25000   -28.95000        Infinity        Infinity********    8.120691e-10
  3.25000   -28.65000        Infinity        Infinity********    1.429795e-09
  3.25000   -28.35000    9.593919e-09     -7.49512523     124    1.938788e-09
  3.25000   -28.05000    1.058976e-08     -7.45223506     137    2.463127e-09
  3.25000   -27.75000    1.922267e-08     -7.19330751     249    3.197119e-09
  3.25000   -27.45000    2.626317e-08     -7.05777417     340    3.817588e-09
  3.25000   -27.15000    3.569542e-08     -6.92450882     463    4.388180e-09
  3.25000   -26.85000    4.781266e-08     -6.79757832     620    4.986130e-09
  3.25000   -26.55000    6.564504e-08     -6.65991934     852    5.620316e-09
  3.25000   -26.25000    7.817254e-08     -6.58406702    1014    5.770835e-09
  3.25000   -25.95000    8.143109e-08     -6.56633099    1057    5.459617e-09
  3.25000   -25.65000    8.974209e-08     -6.52412507    1164    5.045296e-09
  3.25000   -25.35000    1.015108e-07     -6.47060893    1317    4.425590e-09
  3.25000   -25.05000    1.044810e-07     -6.45808378    1356    3.406821e-09
  3.25000   -24.75000    0.000000e+00       -Infinity       0    1.664246e-09
  3.25000   -24.45000    0.000000e+00       -Infinity       0    6.290260e-10
  3.75000   -28.65000        Infinity        Infinity********    4.642975e-10
  3.75000   -28.35000        Infinity        Infinity********    3.790973e-10
  3.75000   -28.05000        Infinity        Infinity********    4.642975e-10
  3.75000   -27.45000        Infinity        Infinity********    5.994054e-10
  3.75000   -27.15000    2.106184e-08     -7.15362493     261    5.361245e-10
  3.75000   -26.85000    9.931906e-09     -7.48008867     123    6.566157e-10
  3.75000   -26.55000    8.589908e-09     -7.54313278     106    3.790973e-10
  3.75000   -26.25000    9.023178e-09     -7.52176173     112    4.642975e-10
  3.75000   -25.95000    3.494980e-08     -6.93367657     434    5.994054e-10
  3.75000   -25.65000    1.546513e-08     -7.28776766     192    2.680623e-10
  3.75000   -25.35000        Infinity        Infinity********    2.680623e-10
  4.75000   -28.65000    0.000000e+00       -Infinity       0    2.975184e-10
  4.75000   -27.75000        Infinity        Infinity********    2.975184e-10
